Start time (UTC), 0720 
 Sky conditions, CO-SDNV mostly, occasionally drizzly 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.45948
 Ship longitude, 1.74546
Position, 1A, 1B,  2,  3,  4, 5A, 5B,  6,  7
Surface type,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 96.0,  NaN,  NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,                   NaN,                   NaN, windy - small ripples,        medium ripples,         small ripples,                   NaN,                   NaN,         small ripples,                   NaN
Change in incident (%),0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 10.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8
433,0.762,0.497,0.393,0.388,0.480,0.776,0.739,0.574,0.742
434,0.762,0.497,0.393,0.388,0.481,0.776,0.739,0.575,0.742
435,0.762,0.497,0.393,0.388,0.481,0.777,0.740,0.575,0.743
436,0.762,0.497,0.394,0.388,0.481,0.777,0.740,0.575,0.743
437,0.763,0.497,0.394,0.388,0.482,0.777,0.740,0.576,0.743
438,0.763,0.497,0.394,0.389,0.482,0.778,0.741,0.576,0.743
439,0.763,0.497,0.394,0.389,0.483,0.778,0.741,0.577,0.743
440,0.763,0.497,0.395,0.389,0.483,0.778,0.741,0.577,0.744
441,0.763,0.498,0.395,0.389,0.483,0.779,0.741,0.577,0.744
442,0.763,0.498,0.395,0.389,0.484,0.779,0.742,0.578,0.744
443,0.763,0.498,0.396,0.390,0.484,0.779,0.742,0.578,0.744
444,0.763,0.498,0.396,0.390,0.484,0.780,0.742,0.578,0.745
445,0.763,0.498,0.396,0.390,0.484,0.780,0.742,0.579,0.745
446,0.763,0.498,0.396,0.390,0.485,0.780,0.743,0.579,0.745
447,0.763,0.498,0.397,0.390,0.485,0.780,0.743,0.579,0.745
448,0.763,0.498,0.397,0.391,0.485,0.780,0.743,0.580,0.745
449,0.763,0.498,0.397,0.391,0.485,0.781,0.744,0.580,0.745
450,0.764,0.498,0.398,0.391,0.485,0.781,0.744,0.580,0.745
451,0.764,0.498,0.398,0.391,0.486,0.781,0.744,0.580,0.745
452,0.764,0.498,0.398,0.391,0.486,0.781,0.744,0.581,0.745
453,0.764,0.498,0.398,0.391,0.486,0.782,0.745,0.581,0.745
454,0.764,0.498,0.398,0.391,0.486,0.782,0.745,0.581,0.746
455,0.764,0.499,0.398,0.391,0.487,0.782,0.745,0.581,0.746
456,0.764,0.499,0.398,0.391,0.487,0.782,0.745,0.582,0.746
457,0.764,0.498,0.399,0.391,0.487,0.782,0.745,0.582,0.746
458,0.764,0.499,0.399,0.392,0.488,0.783,0.746,0.583,0.746
459,0.764,0.499,0.399,0.392,0.488,0.783,0.746,0.583,0.746
460,0.764,0.499,0.399,0.392,0.488,0.783,0.746,0.583,0.746
461,0.764,0.499,0.399,0.392,0.488,0.783,0.746,0.583,0.747
462,0.764,0.499,0.399,0.392,0.488,0.784,0.746,0.583,0.747
463,0.765,0.499,0.399,0.392,0.488,0.784,0.746,0.584,0.747
464,0.764,0.499,0.399,0.392,0.489,0.784,0.747,0.584,0.747
465,0.764,0.499,0.400,0.392,0.489,0.784,0.747,0.584,0.747
466,0.765,0.499,0.400,0.392,0.489,0.784,0.747,0.584,0.747
467,0.765,0.499,0.400,0.393,0.489,0.784,0.747,0.584,0.747
468,0.765,0.499,0.401,0.393,0.489,0.785,0.747,0.585,0.747
469,0.765,0.499,0.401,0.393,0.490,0.785,0.747,0.585,0.747
470,0.765,0.499,0.401,0.393,0.490,0.785,0.748,0.585,0.747
471,0.765,0.499,0.401,0.393,0.490,0.785,0.748,0.585,0.748
472,0.765,0.499,0.402,0.394,0.490,0.785,0.748,0.585,0.748
473,0.765,0.499,0.402,0.394,0.490,0.785,0.748,0.586,0.748
474,0.765,0.499,0.402,0.394,0.490,0.785,0.748,0.586,0.748
475,0.765,0.499,0.402,0.394,0.490,0.785,0.748,0.586,0.748
476,0.765,0.499,0.403,0.394,0.490,0.785,0.748,0.586,0.748
477,0.765,0.499,0.403,0.394,0.490,0.786,0.748,0.586,0.748
478,0.765,0.499,0.403,0.394,0.491,0.786,0.748,0.586,0.748
479,0.765,0.499,0.403,0.394,0.490,0.786,0.748,0.586,0.748
480,0.765,0.499,0.403,0.394,0.490,0.786,0.748,0.586,0.748
481,0.765,0.499,0.403,0.394,0.490,0.786,0.748,0.585,0.748
482,0.765,0.499,0.403,0.394,0.490,0.786,0.748,0.585,0.748
483,0.765,0.499,0.403,0.394,0.490,0.786,0.748,0.585,0.747
484,0.765,0.499,0.402,0.394,0.490,0.786,0.748,0.585,0.747
485,0.765,0.499,0.402,0.393,0.490,0.786,0.748,0.585,0.747
486,0.765,0.499,0.402,0.393,0.490,0.786,0.749,0.585,0.747
487,0.765,0.499,0.402,0.393,0.490,0.786,0.749,0.585,0.747
488,0.765,0.499,0.401,0.393,0.490,0.786,0.748,0.585,0.747
489,0.765,0.499,0.401,0.392,0.490,0.786,0.748,0.585,0.747
490,0.765,0.499,0.401,0.392,0.490,0.786,0.748,0.585,0.747
491,0.765,0.498,0.400,0.392,0.490,0.786,0.748,0.585,0.747
492,0.765,0.498,0.400,0.392,0.490,0.786,0.748,0.585,0.747
493,0.765,0.498,0.400,0.392,0.490,0.786,0.748,0.584,0.747
494,0.765,0.498,0.400,0.391,0.490,0.786,0.748,0.584,0.747
495,0.765,0.498,0.400,0.391,0.489,0.786,0.748,0.584,0.747
496,0.765,0.498,0.400,0.392,0.489,0.786,0.748,0.584,0.746
497,0.765,0.498,0.400,0.391,0.489,0.786,0.748,0.583,0.746
498,0.765,0.498,0.400,0.391,0.489,0.786,0.748,0.583,0.746
499,0.765,0.498,0.400,0.391,0.488,0.786,0.748,0.583,0.746
500,0.765,0.498,0.400,0.391,0.489,0.786,0.749,0.583,0.746
501,0.765,0.497,0.400,0.391,0.488,0.786,0.749,0.583,0.746
502,0.765,0.497,0.400,0.391,0.488,0.786,0.748,0.582,0.746
503,0.765,0.497,0.401,0.391,0.488,0.787,0.748,0.582,0.746
504,0.765,0.497,0.401,0.391,0.487,0.787,0.748,0.582,0.746
505,0.765,0.497,0.401,0.391,0.487,0.786,0.748,0.581,0.746
506,0.765,0.497,0.401,0.391,0.486,0.786,0.748,0.581,0.745
507,0.765,0.497,0.401,0.391,0.486,0.786,0.748,0.580,0.745
508,0.765,0.496,0.401,0.391,0.485,0.786,0.748,0.580,0.745
509,0.765,0.496,0.401,0.391,0.485,0.786,0.748,0.579,0.744
510,0.765,0.496,0.401,0.390,0.484,0.786,0.747,0.578,0.744
511,0.765,0.496,0.401,0.390,0.483,0.786,0.748,0.577,0.744
512,0.765,0.496,0.401,0.390,0.483,0.786,0.747,0.576,0.743
513,0.765,0.496,0.401,0.390,0.482,0.786,0.747,0.576,0.743
514,0.765,0.496,0.401,0.389,0.482,0.785,0.747,0.575,0.742
515,0.765,0.495,0.401,0.389,0.481,0.785,0.747,0.575,0.742
516,0.765,0.495,0.401,0.389,0.481,0.785,0.746,0.574,0.742
517,0.766,0.495,0.401,0.389,0.481,0.785,0.746,0.574,0.742
