Start time (UTC), 0532 
 Sky conditions, CO-SDNV 
 Other notes, Melinda&Felix. Freezing conditions with a light snowfall 
 Ship latitude, 88.77147
 Ship longitude, 101.60265
Position, 1, 1
Surface type,NaN,NaN
Surface thickness (cm),NaN,NaN
Notes, standing position, kneeling position
Change in incident (%),10.0, 10.0
Wavelengths,Albedo0,Albedo1
749,0.557,0.480
750,0.557,0.480
751,0.557,0.480
752,0.557,0.480
753,0.556,0.481
754,0.556,0.481
755,0.556,0.481
756,0.556,0.480
757,0.555,0.480
758,0.556,0.481
759,0.556,0.480
760,0.556,0.478
761,0.554,0.476
762,0.553,0.478
763,0.550,0.474
764,0.551,0.475
765,0.553,0.477
766,0.553,0.478
767,0.553,0.479
768,0.553,0.480
769,0.553,0.480
770,0.553,0.479
771,0.553,0.480
772,0.553,0.480
773,0.552,0.480
774,0.552,0.480
775,0.552,0.479
776,0.551,0.479
777,0.551,0.479
778,0.551,0.479
779,0.551,0.479
780,0.550,0.479
781,0.551,0.479
782,0.550,0.479
783,0.550,0.479
784,0.550,0.479
785,0.550,0.479
786,0.549,0.479
787,0.549,0.478
788,0.549,0.478
789,0.548,0.478
790,0.548,0.478
791,0.548,0.478
792,0.547,0.478
793,0.548,0.478
794,0.548,0.478
795,0.548,0.478
796,0.547,0.478
797,0.547,0.478
798,0.547,0.479
799,0.547,0.478
800,0.548,0.478
801,0.548,0.478
802,0.548,0.478
803,0.548,0.478
804,0.547,0.478
805,0.547,0.478
806,0.547,0.478
807,0.547,0.478
808,0.547,0.478
809,0.547,0.478
810,0.547,0.478
811,0.547,0.478
812,0.547,0.478
813,0.547,0.478
814,0.547,0.478
815,0.547,0.478
816,0.547,0.478
817,0.547,0.478
818,0.547,0.478
819,0.546,0.478
820,0.546,0.478
821,0.546,0.478
822,0.546,0.478
823,0.546,0.478
824,0.546,0.478
825,0.546,0.478
826,0.546,0.478
827,0.546,0.478
828,0.546,0.478
829,0.547,0.478
830,0.547,0.479
831,0.547,0.479
832,0.547,0.479
833,0.547,0.479
834,0.547,0.480
835,0.547,0.480
836,0.547,0.480
837,0.547,0.480
838,0.547,0.480
839,0.547,0.480
840,0.548,0.480
841,0.548,0.481
842,0.548,0.481
843,0.548,0.481
844,0.548,0.481
845,0.548,0.481
846,0.548,0.482
847,0.548,0.482
848,0.548,0.482
849,0.548,0.482
850,0.548,0.482
851,0.547,0.482
852,0.547,0.482
853,0.547,0.482
854,0.547,0.482
855,0.547,0.482
856,0.547,0.482
857,0.546,0.482
858,0.546,0.482
859,0.546,0.482
860,0.546,0.482
861,0.546,0.481
862,0.545,0.481
863,0.545,0.481
864,0.545,0.481
865,0.545,0.481
866,0.544,0.482
867,0.544,0.482
868,0.544,0.482
869,0.543,0.482
870,0.543,0.482
871,0.543,0.482
872,0.543,0.482
873,0.542,0.481
874,0.542,0.481
875,0.541,0.481
876,0.541,0.481
877,0.541,0.481
878,0.541,0.481
879,0.540,0.481
880,0.540,0.481
881,0.540,0.481
882,0.539,0.480
883,0.539,0.480
884,0.539,0.480
885,0.538,0.480
886,0.538,0.480
887,0.537,0.480
888,0.537,0.480
889,0.537,0.480
890,0.536,0.480
891,0.536,0.479
892,0.535,0.479
893,0.535,0.479
894,0.534,0.479
895,0.534,0.479
896,0.533,0.479
897,0.533,0.479
898,0.533,0.479
899,0.532,0.479
900,0.532,0.478
901,0.532,0.478
902,0.531,0.478
903,0.531,0.478
904,0.531,0.478
905,0.531,0.478
906,0.531,0.478
907,0.531,0.478
908,0.530,0.478
909,0.530,0.478
910,0.530,0.478
911,0.530,0.478
912,0.530,0.478
913,0.529,0.478
914,0.529,0.478
915,0.529,0.478
916,0.529,0.478
917,0.529,0.478
918,0.529,0.478
919,0.529,0.478
920,0.528,0.478
921,0.528,0.478
922,0.528,0.478
923,0.528,0.479
924,0.528,0.479
925,0.528,0.479
926,0.527,0.479
927,0.527,0.479
928,0.527,0.480
929,0.527,0.480
930,0.527,0.479
931,0.527,0.479
932,0.527,0.478
933,0.526,0.478
934,0.526,0.478
935,0.525,0.478
936,0.524,0.478
937,0.523,0.477
938,0.523,0.477
939,0.523,0.476
940,0.523,0.476
941,0.523,0.476
942,0.523,0.476
943,0.523,0.475
944,0.523,0.476
945,0.524,0.476
946,0.523,0.477
947,0.523,0.477
948,0.523,0.478
949,0.524,0.477
950,0.524,0.477
951,0.525,0.477
952,0.525,0.477
953,0.525,0.477
954,0.525,0.477
955,0.525,0.477
956,0.525,0.478
957,0.525,0.478
958,0.524,0.478
959,0.524,0.478
960,0.524,0.477
961,0.524,0.478
962,0.524,0.478
963,0.523,0.479
964,0.522,0.480
965,0.522,0.480
966,0.522,0.479
967,0.521,0.480
968,0.521,0.481
969,0.521,0.481
970,0.520,0.481
971,0.519,0.481
972,0.518,0.481
973,0.517,0.480
974,0.516,0.480
975,0.516,0.481
976,0.515,0.481
977,0.515,0.480
978,0.515,0.479
979,0.514,0.479
980,0.514,0.479
981,0.513,0.479
982,0.512,0.479
983,0.511,0.479
984,0.510,0.479
985,0.509,0.479
986,0.508,0.478
987,0.507,0.478
988,0.506,0.479
989,0.505,0.479
990,0.504,0.479
991,0.503,0.478
992,0.502,0.478
993,0.501,0.477
994,0.499,0.476
995,0.498,0.475
996,0.496,0.475
997,0.495,0.473
998,0.494,0.473
999,0.493,0.472
1000,0.491,0.469
1001,0.490,0.468
1002,0.488,0.467
1003,0.487,0.465
1004,0.485,0.464
1005,0.483,0.462
1006,0.481,0.460
1007,0.479,0.458
1008,0.478,0.457
1009,0.476,0.455
1010,0.475,0.453
1011,0.474,0.451
1012,0.472,0.450
1013,0.471,0.447
1014,0.470,0.444
1015,0.469,0.445
1016,0.467,0.443
1017,0.465,0.442
1018,0.462,0.442
1019,0.459,0.441
1020,0.457,0.441
1021,0.455,0.440
1022,0.454,0.440
1023,0.452,0.439
1024,0.451,0.438
1025,0.450,0.438
1026,0.449,0.437
1027,0.447,0.437
1028,0.445,0.437
1029,0.443,0.436
1030,0.441,0.435
1031,0.439,0.434
1032,0.439,0.432
1033,0.440,0.431
1034,0.441,0.430
1035,0.442,0.429
1036,0.444,0.429
1037,0.444,0.429
1038,0.444,0.430
1039,0.444,0.431
1040,0.444,0.432
1041,0.445,0.433
1042,0.445,0.434
1043,0.447,0.436
1044,0.447,0.437
1045,0.448,0.438
1046,0.449,0.438
1047,0.449,0.439
1048,0.449,0.440
1049,0.449,0.442
1050,0.448,0.444
1051,0.447,0.446
1052,0.447,0.448
1053,0.448,0.450
1054,0.449,0.451
1055,0.450,0.451
1056,0.451,0.451
1057,0.451,0.450
1058,0.453,0.450
1059,0.454,0.449
1060,0.456,0.450
1061,0.459,0.451
1062,0.461,0.452
1063,0.464,0.453
1064,0.465,0.453
1065,0.466,0.452
1066,0.467,0.450
1067,0.468,0.449
1068,0.469,0.447
1069,0.470,0.447
1070,0.471,0.446
1071,0.472,0.446
1072,0.473,0.446
1073,0.475,0.447
1074,0.476,0.447
1075,0.476,0.447
1076,0.477,0.447
1077,0.477,0.447
1078,0.477,0.446
1079,0.478,0.446
1080,0.479,0.446
1081,0.480,0.446
1082,0.481,0.446
1083,0.482,0.446
1084,0.482,0.446
1085,0.483,0.446
1086,0.483,0.445
1087,0.482,0.445
1088,0.482,0.445
1089,0.482,0.445
1090,0.483,0.445
1091,0.484,0.446
1092,0.485,0.446
1093,0.486,0.445
1094,0.486,0.445
1095,0.487,0.444
1096,0.487,0.444
1097,0.488,0.444
1098,0.488,0.444
1099,0.488,0.445
1100,0.488,0.445
1101,0.488,0.446
1102,0.488,0.447
1103,0.488,0.448
1104,0.488,0.450
1105,0.488,0.450
1106,0.488,0.451
1107,0.488,0.451
1108,0.488,0.450
1109,0.489,0.451
1110,0.489,0.452
1111,0.490,0.451
1112,0.490,0.451
1113,0.489,0.451
1114,0.487,0.451
1115,0.485,0.452
1116,0.483,0.453
1117,0.481,0.454
1118,0.480,0.454
1119,0.478,0.456
1120,0.476,0.459
1121,0.474,0.461
1122,0.472,0.465
1123,0.471,
1124,0.471,
1125,,
1126,,
1127,,
1128,,
1129,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1136,,
1137,,
1138,,
1139,,
1140,,
1141,,
1142,,
1143,,
1144,,
1145,,
1146,,
1147,,
1148,,
1149,,
1150,,
1151,,
1152,,
1153,,
1154,,
1155,,
1156,,
1157,,
1158,,
1159,,
1160,,
1161,,
1162,,
1163,,
1164,,
1165,,
1166,,
1167,,
1168,,
1169,,
1170,,
1171,,
1172,,
1173,,0.416
1174,,0.414
1175,0.432,0.412
1176,0.430,0.409
1177,0.428,0.407
1178,0.426,0.405
1179,0.424,0.403
1180,0.421,0.402
1181,0.420,0.401
1182,0.418,0.401
1183,0.416,0.400
1184,0.413,0.399
1185,0.411,0.398
1186,0.408,0.397
1187,0.406,0.396
1188,0.404,0.395
1189,0.402,0.394
1190,0.400,0.392
1191,0.398,0.391
1192,0.396,0.389
1193,0.395,0.388
1194,0.393,0.386
1195,0.392,0.385
1196,0.390,0.383
1197,0.388,0.382
1198,0.385,0.380
1199,0.383,0.379
1200,0.380,0.377
1201,0.378,0.375
1202,0.375,0.373
1203,0.373,0.370
1204,0.370,0.367
1205,0.368,0.365
1206,0.365,0.363
1207,0.362,0.361
1208,0.359,0.360
1209,0.356,0.359
1210,0.353,0.357
1211,0.351,0.356
1212,0.349,0.355
1213,0.348,0.354
1214,0.347,0.352
1215,0.346,0.350
1216,0.344,0.348
1217,0.343,0.346
1218,0.342,0.345
1219,0.341,0.344
1220,0.340,0.343
1221,0.340,0.342
1222,0.339,0.341
1223,0.339,0.340
1224,0.339,0.339
1225,0.338,0.338
1226,0.338,0.337
1227,0.337,0.336
1228,0.336,0.336
1229,0.335,0.335
1230,0.334,0.334
1231,0.334,0.333
1232,0.334,0.332
1233,0.333,0.331
1234,0.332,0.330
1235,0.331,0.328
1236,0.330,0.327
1237,0.329,0.327
1238,0.327,0.326
1239,0.326,0.326
1240,0.325,0.326
1241,0.324,0.326
1242,0.323,0.326
1243,0.322,0.325
1244,0.321,0.325
1245,0.320,0.325
1246,0.319,0.324
1247,0.318,0.324
1248,0.317,0.324
1249,0.317,0.324
1250,0.317,0.325
1251,0.317,0.325
1252,0.318,0.324
1253,0.318,0.323
1254,0.318,0.321
1255,0.317,0.319
1256,0.317,0.318
1257,0.318,0.316
1258,0.319,0.316
1259,0.319,0.315
1260,0.319,0.315
1261,0.318,0.315
1262,0.318,0.315
1263,0.318,0.314
1264,0.319,0.314
1265,0.318,0.314
1266,0.317,0.314
1267,0.316,0.315
1268,0.314,0.315
1269,0.313,0.317
1270,0.312,0.319
1271,0.311,0.320
1272,0.310,0.320
1273,0.309,0.320
1274,0.309,0.320
1275,0.309,0.320
1276,0.310,0.321
1277,0.310,0.322
1278,0.309,0.324
1279,0.308,0.325
1280,0.308,0.326
1281,0.308,0.327
1282,0.309,0.328
1283,0.310,0.329
1284,0.311,0.329
1285,0.312,0.329
1286,0.313,0.329
1287,0.315,0.329
1288,0.315,0.330
1289,0.316,0.331
1290,0.317,0.332
1291,0.318,0.332
1292,0.319,0.332
1293,0.321,0.332
1294,0.322,0.332
1295,0.323,0.333
1296,0.324,0.333
1297,0.325,0.332
1298,0.326,0.332
1299,0.326,0.331
1300,0.327,0.330
1301,0.326,0.330
1302,0.326,0.330
1303,0.325,0.330
1304,0.325,0.331
1305,0.325,0.331
1306,0.325,0.330
1307,0.325,0.329
1308,0.326,0.327
1309,0.326,0.326
1310,0.326,0.324
1311,0.326,0.324
1312,0.326,0.324
1313,0.325,0.323
1314,0.325,0.323
1315,0.325,0.323
1316,0.326,0.323
1317,0.326,0.323
1318,0.327,0.322
1319,0.327,0.323
1320,0.327,0.324
1321,0.327,0.326
1322,0.327,0.328
1323,0.327,0.330
1324,0.327,0.330
1325,0.326,0.330
1326,0.326,0.329
1327,0.327,0.328
1328,0.327,0.327
1329,0.327,0.326
1330,0.327,0.326
1331,0.327,0.326
1332,0.326,0.326
1333,0.325,0.327
1334,0.323,0.327
1335,0.321,0.326
1336,0.319,0.325
1337,0.318,0.325
1338,0.317,0.325
1339,0.317,0.326
1340,0.315,0.327
1341,0.313,0.329
1342,0.312,0.330
1343,0.310,0.330
1344,0.310,0.331
1345,0.310,0.331
1346,0.310,0.330
1347,0.310,0.331
1348,0.311,0.334
1349,0.315,
1350,,
1351,,
1352,,
1353,,
1354,,
1355,,
1356,,
1357,,
1358,,
1359,,
1360,,
1361,,
1362,,
1363,,
1364,,
1365,,
1366,,
1367,,
1368,,
1369,,
1370,,
1371,,
1372,,
1373,,
1374,,
1375,,
1376,,
1377,,
1378,,
1379,,
1380,,
1381,,
1382,,
1383,,
1384,,
1385,,
1386,,
1387,,
1388,,
1389,,
1390,,
1391,,
1392,,
1393,,
1394,,
1395,,
1396,,
1397,,
1398,,
1399,,
1400,,
1401,,
1402,,
1403,,
1404,,
1405,,
1406,,
1407,,
1408,,
1409,,
1410,,
1411,,
1412,,
1413,,
1414,,
1415,,
1416,,
1417,,
1418,,
1419,,
1420,,
1421,,
1422,,
1423,,
1424,,
1425,,
1426,,
1427,,
1428,,
1429,,
1430,,
1431,,
1432,,
1433,,
1434,,
1435,,
1436,,
1437,,
1438,,
1439,,
1440,,
1441,,
1442,,
1443,,
1444,,
1445,,
1446,,
1447,,
1448,,
1449,,
1450,,
1451,,
1452,,
1453,,
1454,,
1455,,
1456,,
1457,,
1458,,
1459,,
1460,,
1461,,
1462,,
1463,,
1464,,
1465,,
1466,,
1467,,
1468,,
1469,,
1470,,
1471,,
1472,,
1473,,
1474,,
1475,,
1476,,
1477,,
1478,,
1479,,
1480,,
1481,,
1482,,
1483,,
1484,,
1485,,
1486,,
1487,,
1488,,
1489,,
1490,,
1491,,
1492,,
1493,,
1494,,
1495,,
1496,,
1497,,
1498,,
1499,,
1500,,
1501,,
1502,,
1503,,
1504,,
1505,,
1506,,
1507,,
1508,,
1509,,0.026
1510,,0.025
1511,,0.024
1512,0.036,0.022
1513,0.035,0.021
1514,0.035,0.020
1515,0.034,0.019
1516,0.032,0.019
1517,0.030,0.019
1518,0.028,0.020
1519,0.026,0.021
1520,0.025,0.021
1521,0.024,0.023
1522,0.023,0.025
1523,0.022,0.028
1524,0.021,0.030
1525,0.020,0.032
1526,0.019,0.034
1527,0.018,0.035
1528,0.018,0.035
1529,0.017,0.036
1530,0.016,0.037
1531,0.015,0.038
1532,0.015,0.038
1533,0.015,0.038
1534,0.015,0.038
1535,0.016,0.038
1536,0.016,0.038
1537,0.017,0.038
1538,0.017,0.036
1539,0.017,0.034
1540,0.017,0.032
1541,0.018,0.030
1542,0.018,0.028
1543,0.019,0.028
1544,0.019,0.028
1545,0.020,0.029
1546,0.021,0.028
1547,0.022,0.028
1548,0.023,0.028
1549,0.023,0.028
1550,0.023,0.028
1551,0.023,0.028
1552,0.022,0.028
1553,0.023,0.028
1554,0.023,0.029
1555,0.024,0.030
1556,0.024,0.031
1557,0.025,0.033
1558,0.025,0.033
1559,0.025,0.034
1560,0.025,0.035
1561,0.025,0.035
1562,0.024,0.036
1563,0.024,0.036
1564,0.024,0.036
1565,0.025,0.036
1566,0.026,0.035
1567,0.026,0.036
1568,0.027,0.036
1569,0.027,0.037
1570,0.027,0.039
1571,0.028,0.041
1572,0.029,0.041
1573,0.030,0.042
1574,0.032,0.042
1575,0.033,0.042
1576,0.034,0.042
1577,0.035,0.042
1578,0.036,0.043
1579,0.037,0.044
1580,0.037,0.045
1581,0.039,0.046
1582,0.040,0.046
1583,0.042,0.046
1584,0.043,0.046
1585,0.045,0.046
1586,0.046,0.046
1587,0.047,0.047
1588,0.047,0.048
1589,0.047,0.049
1590,0.047,0.051
1591,0.047,0.053
1592,0.048,0.054
1593,0.049,0.055
1594,0.049,0.055
1595,0.049,0.055
1596,0.049,0.056
1597,0.048,0.057
1598,0.048,0.059
1599,0.047,0.060
1600,0.046,0.061
1601,0.046,0.061
1602,0.046,0.059
1603,0.047,0.058
1604,0.047,0.056
1605,0.047,0.055
1606,0.047,0.054
1607,0.047,0.054
1608,0.047,0.053
1609,0.047,0.053
1610,0.048,0.053
1611,0.048,0.052
1612,0.048,0.051
1613,0.048,0.049
1614,0.048,0.049
1615,0.049,0.049
1616,0.049,0.049
1617,0.048,0.050
1618,0.048,0.051
1619,0.048,0.051
1620,0.048,0.052
1621,0.049,0.052
1622,0.049,0.051
1623,0.050,0.051
1624,0.050,0.051
1625,0.050,0.051
1626,0.051,0.051
1627,0.052,0.052
1628,0.052,0.052
1629,0.052,0.052
1630,0.052,0.051
1631,0.052,0.050
1632,0.052,0.049
1633,0.052,0.048
1634,0.053,0.049
1635,0.053,0.049
1636,0.054,0.049
1637,0.054,0.050
1638,0.055,0.050
1639,0.055,0.050
1640,0.055,0.050
1641,0.055,0.050
1642,0.054,0.050
1643,0.054,0.050
1644,0.055,0.051
1645,0.056,0.052
1646,0.057,0.055
1647,0.059,0.058
1648,0.060,0.060
1649,0.061,0.063
1650,0.061,0.064
1651,0.061,0.065
1652,0.060,0.067
1653,0.060,0.068
1654,0.061,0.070
1655,0.062,0.072
1656,0.063,0.074
1657,0.065,0.076
1658,0.066,0.077
1659,0.067,0.079
1660,0.068,0.079
1661,0.068,0.079
1662,0.067,0.080
1663,0.067,0.080
1664,0.066,0.079
1665,0.066,0.079
1666,0.066,0.079
1667,0.067,0.079
1668,0.067,0.079
1669,0.068,0.080
1670,0.068,0.080
1671,0.068,0.080
1672,0.066,0.080
1673,0.065,0.079
1674,0.065,0.078
1675,0.066,0.078
1676,0.067,0.077
1677,0.069,0.076
1678,0.070,0.076
1679,0.071,0.076
1680,0.072,0.076
1681,0.073,0.078
1682,0.075,0.078
1683,0.076,0.078
1684,0.077,0.078
1685,0.078,0.077
1686,0.079,0.077
1687,0.081,0.079
1688,0.082,0.081
1689,0.082,0.082
1690,0.082,0.084
1691,0.082,0.084
1692,0.083,0.085
1693,0.084,0.084
1694,0.085,0.084
1695,0.085,0.083
1696,0.085,0.083
1697,0.085,0.083
1698,0.084,0.085
1699,0.083,0.086
1700,0.082,0.088
1701,0.082,0.089
1702,0.082,0.089
1703,0.082,0.090
1704,0.084,0.090
1705,0.085,0.090
1706,0.084,0.091
1707,0.084,0.092
1708,0.083,0.093
1709,0.083,0.093
1710,0.083,0.093
1711,0.084,0.094
1712,0.085,0.093
1713,0.085,0.093
1714,0.087,0.093
1715,0.088,0.092
1716,0.089,0.091
1717,0.091,0.090
1718,0.091,0.089
1719,0.091,0.088
1720,0.092,0.089
1721,0.093,0.090
1722,0.095,0.091
1723,0.096,0.093
1724,0.098,0.095
1725,0.100,0.095
1726,0.101,0.096
1727,0.102,0.096
1728,0.103,0.095
1729,0.104,0.095
1730,0.104,0.096
1731,0.105,0.097
1732,0.105,0.098
1733,0.105,0.099
1734,0.105,0.098
1735,0.104,0.098
1736,0.103,0.097
1737,0.103,0.096
1738,0.102,0.096
1739,0.102,0.096
1740,0.101,0.099
1741,0.100,0.101
1742,0.100,0.103
1743,0.099,0.103
1744,0.098,0.103
1745,0.098,0.104
1746,0.096,0.105
1747,0.095,0.106
