Start time (UTC), 1432 
 Sky conditions, CO-SDNV 
 Other notes, ASD only. RS (not 5 due to freshwater lens drilling) + BP for 1st time. Stern obs w/ NIR/microCT @ 1 5 + 7. 5A and 5B nearly indistinguishable visibly.  
 Ship latitude, 81.22083
 Ship longitude, 0.27618
Position, 1A, 1B,  2,  3,  4, 5A, 5B,  6,  7
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8
520,0.712,0.418,0.371,0.389,0.438,0.765,0.759,0.536,0.758
521,0.712,0.419,0.371,0.389,0.438,0.765,0.759,0.535,0.758
522,0.713,0.418,0.371,0.388,0.438,0.765,0.758,0.535,0.758
523,0.712,0.418,0.371,0.388,0.437,0.765,0.758,0.535,0.758
524,0.712,0.418,0.371,0.388,0.437,0.764,0.758,0.534,0.757
525,0.712,0.418,0.371,0.388,0.437,0.764,0.758,0.534,0.757
526,0.712,0.418,0.371,0.387,0.437,0.764,0.758,0.534,0.757
527,0.712,0.418,0.371,0.387,0.436,0.764,0.758,0.533,0.757
528,0.712,0.418,0.370,0.387,0.436,0.764,0.758,0.533,0.756
529,0.712,0.418,0.370,0.386,0.436,0.764,0.758,0.532,0.756
530,0.712,0.418,0.370,0.386,0.436,0.763,0.757,0.532,0.756
531,0.712,0.418,0.370,0.386,0.435,0.763,0.757,0.531,0.756
532,0.712,0.417,0.369,0.385,0.435,0.763,0.757,0.531,0.756
533,0.712,0.417,0.369,0.385,0.435,0.763,0.757,0.530,0.755
534,0.712,0.417,0.369,0.384,0.434,0.763,0.757,0.530,0.755
535,0.712,0.417,0.368,0.384,0.434,0.762,0.756,0.529,0.755
536,0.712,0.417,0.368,0.383,0.433,0.762,0.756,0.529,0.754
537,0.712,0.417,0.368,0.383,0.433,0.762,0.756,0.528,0.754
538,0.712,0.417,0.367,0.382,0.433,0.762,0.756,0.527,0.754
539,0.712,0.416,0.367,0.382,0.432,0.762,0.756,0.527,0.754
540,0.712,0.416,0.366,0.381,0.432,0.761,0.755,0.526,0.753
541,0.712,0.416,0.366,0.381,0.431,0.761,0.755,0.525,0.753
542,0.712,0.415,0.365,0.380,0.431,0.761,0.755,0.524,0.753
543,0.711,0.415,0.365,0.379,0.430,0.761,0.755,0.524,0.752
544,0.711,0.415,0.364,0.379,0.430,0.760,0.754,0.523,0.752
545,0.711,0.415,0.363,0.378,0.429,0.760,0.754,0.522,0.751
546,0.711,0.415,0.363,0.377,0.428,0.760,0.754,0.521,0.751
547,0.711,0.414,0.362,0.376,0.428,0.759,0.753,0.520,0.751
548,0.711,0.414,0.361,0.375,0.427,0.759,0.753,0.520,0.750
549,0.711,0.414,0.361,0.375,0.426,0.759,0.753,0.518,0.750
550,0.711,0.413,0.360,0.374,0.425,0.759,0.752,0.517,0.749
551,0.711,0.413,0.359,0.373,0.425,0.758,0.752,0.517,0.749
552,0.710,0.413,0.359,0.372,0.424,0.758,0.752,0.516,0.749
553,0.710,0.413,0.358,0.371,0.423,0.758,0.752,0.515,0.748
554,0.710,0.412,0.357,0.371,0.423,0.757,0.751,0.514,0.748
555,0.710,0.412,0.357,0.370,0.422,0.757,0.751,0.513,0.748
556,0.710,0.412,0.356,0.369,0.422,0.757,0.751,0.512,0.747
557,0.710,0.412,0.355,0.368,0.421,0.756,0.750,0.512,0.747
558,0.710,0.411,0.355,0.368,0.420,0.756,0.750,0.511,0.746
559,0.710,0.411,0.354,0.367,0.420,0.756,0.749,0.510,0.746
560,0.710,0.411,0.353,0.366,0.419,0.755,0.749,0.509,0.745
561,0.709,0.410,0.352,0.365,0.418,0.755,0.749,0.508,0.745
562,0.709,0.410,0.352,0.364,0.418,0.754,0.748,0.507,0.744
563,0.709,0.410,0.351,0.363,0.417,0.754,0.748,0.506,0.744
564,0.709,0.409,0.350,0.363,0.416,0.754,0.748,0.505,0.744
565,0.709,0.409,0.349,0.361,0.415,0.754,0.747,0.504,0.743
566,0.709,0.409,0.348,0.361,0.415,0.753,0.747,0.503,0.743
567,0.709,0.408,0.347,0.360,0.414,0.753,0.747,0.502,0.742
568,0.709,0.408,0.346,0.359,0.413,0.753,0.746,0.501,0.742
569,0.709,0.407,0.345,0.358,0.412,0.752,0.746,0.500,0.741
570,0.708,0.407,0.344,0.357,0.411,0.752,0.745,0.499,0.740
571,0.708,0.407,0.343,0.355,0.410,0.751,0.745,0.497,0.740
572,0.708,0.406,0.342,0.354,0.409,0.751,0.745,0.496,0.740
573,0.708,0.406,0.341,0.353,0.408,0.751,0.744,0.495,0.739
574,0.708,0.405,0.340,0.352,0.406,0.750,0.744,0.494,0.739
575,0.708,0.405,0.339,0.351,0.405,0.750,0.743,0.493,0.738
576,0.708,0.404,0.338,0.349,0.404,0.750,0.743,0.491,0.737
577,0.707,0.404,0.336,0.348,0.403,0.749,0.743,0.490,0.737
578,0.707,0.403,0.335,0.347,0.401,0.749,0.742,0.488,0.736
579,0.707,0.403,0.333,0.345,0.400,0.749,0.742,0.487,0.736
580,0.707,0.402,0.332,0.343,0.398,0.748,0.742,0.485,0.735
581,0.707,0.402,0.330,0.342,0.396,0.748,0.741,0.483,0.734
582,0.707,0.401,0.329,0.340,0.394,0.748,0.741,0.482,0.734
583,0.707,0.400,0.327,0.339,0.393,0.747,0.740,0.480,0.733
584,0.706,0.400,0.325,0.337,0.391,0.747,0.740,0.478,0.732
585,0.706,0.399,0.323,0.335,0.389,0.746,0.740,0.476,0.731
586,0.706,0.398,0.322,0.333,0.387,0.746,0.739,0.474,0.731
587,0.706,0.397,0.320,0.332,0.385,0.746,0.738,0.472,0.730
588,0.706,0.397,0.318,0.330,0.383,0.745,0.738,0.470,0.729
589,0.705,0.396,0.316,0.328,0.381,0.745,0.738,0.468,0.728
590,0.705,0.395,0.314,0.325,0.378,0.744,0.737,0.465,0.727
591,0.705,0.394,0.312,0.323,0.376,0.744,0.736,0.463,0.727
592,0.705,0.393,0.310,0.321,0.373,0.743,0.736,0.461,0.726
593,0.705,0.393,0.308,0.319,0.371,0.743,0.736,0.459,0.725
594,0.705,0.392,0.306,0.317,0.369,0.742,0.735,0.457,0.724
