Start time (UTC), 0743 
 Sky conditions, CO-SDV 
 Other notes, Simultaneous with stakes readings (Ian & Debbie). Possible scratch on spectralon plate. Surface slightly frozen (small ponds have thin ice lid). 
 Ship latitude, 79.99248
 Ship longitude, -0.65415
Position, 1, 2, 3, 4, 5, 6
Surface type,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5
525,0.796,0.763,0.459,0.535,0.768,0.782
526,0.796,0.763,0.459,0.535,0.768,0.782
527,0.796,0.763,0.459,0.534,0.768,0.782
528,0.796,0.763,0.459,0.534,0.768,0.782
529,0.796,0.763,0.459,0.533,0.768,0.781
530,0.796,0.763,0.459,0.533,0.768,0.782
531,0.796,0.763,0.459,0.533,0.768,0.782
532,0.796,0.764,0.458,0.532,0.768,0.782
533,0.796,0.764,0.459,0.532,0.767,0.782
534,0.796,0.764,0.458,0.531,0.767,0.782
535,0.796,0.764,0.458,0.531,0.767,0.782
536,0.795,0.763,0.458,0.530,0.767,0.782
537,0.795,0.763,0.458,0.530,0.767,0.782
538,0.795,0.764,0.457,0.529,0.767,0.782
539,0.794,0.764,0.457,0.529,0.767,0.782
540,0.795,0.763,0.457,0.528,0.767,0.781
541,0.795,0.764,0.457,0.527,0.767,0.782
542,0.795,0.764,0.456,0.527,0.767,0.782
543,0.794,0.764,0.456,0.526,0.767,0.781
544,0.794,0.764,0.456,0.525,0.767,0.781
545,0.794,0.764,0.455,0.524,0.766,0.781
546,0.794,0.764,0.455,0.524,0.766,0.781
547,0.793,0.764,0.454,0.523,0.767,0.781
548,0.793,0.764,0.453,0.522,0.766,0.781
549,0.793,0.764,0.453,0.521,0.766,0.781
550,0.793,0.764,0.453,0.520,0.766,0.781
551,0.793,0.764,0.452,0.520,0.766,0.780
552,0.793,0.764,0.452,0.519,0.766,0.780
553,0.793,0.764,0.451,0.518,0.766,0.780
554,0.793,0.764,0.450,0.517,0.766,0.780
555,0.793,0.764,0.450,0.516,0.765,0.780
556,0.793,0.764,0.450,0.516,0.765,0.780
557,0.792,0.763,0.449,0.515,0.765,0.780
558,0.792,0.763,0.449,0.514,0.765,0.780
559,0.792,0.763,0.448,0.513,0.765,0.779
560,0.792,0.763,0.448,0.513,0.765,0.779
561,0.792,0.763,0.448,0.512,0.765,0.779
562,0.791,0.763,0.447,0.511,0.765,0.779
563,0.791,0.763,0.446,0.510,0.764,0.779
564,0.791,0.763,0.446,0.509,0.764,0.779
