Start time (UTC), 1100 
 Sky conditions, CO-SDNV 
 Other notes, Melinda & Felix. Melting conditions and pond lids melting. SSL present. NSDV. 
 Ship latitude, 88.11375
 Ship longitude, 109.49771
Position,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
Surface type, s, s, s, s, s, p, s, p, p, p, s, s, s
Surface thickness (cm),  0,  1,  3,  1,  1, 20,  1, 36, 36, 16,  5,  4,  0
Notes,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN, thin ice lid on pond,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN
Change in incident (%),10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12
413,0.520,0.576,0.634,0.597,0.462,0.353,0.739,,0.225,0.423,0.688,0.678,0.635
414,0.519,0.575,0.633,0.596,0.461,0.353,0.738,,0.225,0.423,0.688,0.678,0.635
415,0.519,0.575,0.633,0.597,0.461,0.353,0.737,,0.225,0.423,0.689,0.677,0.635
416,0.519,0.575,0.634,0.597,0.461,0.354,0.738,,0.225,0.423,0.689,0.677,0.635
417,0.519,0.575,0.634,0.597,0.462,0.353,0.738,,0.225,0.424,0.688,0.677,0.635
418,0.519,0.575,0.634,0.596,0.462,0.353,0.738,,0.225,0.423,0.688,0.677,0.634
419,0.519,0.575,0.633,0.597,0.462,0.353,0.739,,0.225,0.423,0.688,0.678,0.634
420,0.519,0.575,0.634,0.597,0.461,0.353,0.739,,0.225,0.424,0.689,0.678,0.634
421,0.520,0.575,0.634,0.597,0.462,0.353,0.739,,0.226,0.424,0.688,0.677,0.635
422,0.520,0.575,0.633,0.596,0.461,0.353,0.738,,0.226,0.424,0.688,0.677,0.635
423,0.519,0.575,0.633,0.596,0.461,0.353,0.738,,0.226,0.423,0.688,0.678,0.635
424,0.519,0.574,0.634,0.597,0.461,0.352,0.738,,0.226,0.423,0.688,0.677,0.634
425,0.519,0.574,0.633,0.597,0.461,0.352,0.738,,0.227,0.423,0.688,0.678,0.634
426,0.519,0.575,0.633,0.597,0.461,0.353,0.738,,0.227,0.424,0.689,0.678,0.635
427,0.520,0.575,0.633,0.597,0.462,0.353,0.738,,0.227,0.423,0.689,0.677,0.634
428,0.520,0.575,0.633,0.597,0.462,0.352,0.738,,0.227,0.424,0.688,0.677,0.634
429,0.519,0.575,0.633,0.596,0.462,0.352,0.738,,0.227,0.424,0.688,0.677,0.635
430,0.519,0.575,0.633,0.596,0.461,0.352,0.738,,0.227,0.424,0.689,0.677,0.635
431,0.519,0.575,0.633,0.597,0.460,0.352,0.739,,0.227,0.424,0.688,0.677,0.634
432,0.519,0.574,0.633,0.597,0.461,0.352,0.739,,0.227,0.424,0.688,0.677,0.633
433,0.519,0.574,0.633,0.596,0.461,0.353,0.739,,0.227,0.424,0.688,0.677,0.634
434,0.518,0.574,0.633,0.595,0.461,0.352,0.739,,0.227,0.424,0.688,0.677,0.635
435,0.518,0.574,0.633,0.596,0.462,0.352,0.738,,0.227,0.424,0.688,0.676,0.634
436,0.518,0.574,0.633,0.596,0.461,0.351,0.738,,0.227,0.423,0.688,0.677,0.633
437,0.518,0.574,0.633,0.596,0.461,0.352,0.738,,0.226,0.423,0.688,0.677,0.633
438,0.518,0.574,0.633,0.596,0.461,0.352,0.738,,0.227,0.424,0.688,0.677,0.634
439,0.518,0.574,0.633,0.596,0.461,0.352,0.738,,0.227,0.424,0.688,0.677,0.634
440,0.518,0.574,0.633,0.596,0.461,0.352,0.738,,0.227,0.424,0.688,0.677,0.633
441,0.518,0.573,0.633,0.596,0.461,0.351,0.738,,0.227,0.424,0.689,0.677,0.633
442,0.518,0.574,0.632,0.596,0.460,0.352,0.738,,0.227,0.424,0.688,0.676,0.634
443,0.518,0.574,0.633,0.596,0.461,0.351,0.738,,0.227,0.424,0.688,0.677,0.634
444,0.518,0.574,0.633,0.596,0.461,0.351,0.738,,0.227,0.424,0.689,0.677,0.633
445,0.518,0.574,0.633,0.596,0.461,0.351,0.738,,0.227,0.424,0.688,0.677,0.633
446,0.518,0.574,0.633,0.596,0.461,0.351,0.738,,0.227,0.423,0.688,0.676,0.633
447,0.518,0.574,0.633,0.596,0.461,0.351,0.738,,0.228,0.424,0.688,0.676,0.633
448,0.518,0.574,0.633,0.596,0.461,0.351,0.738,,0.227,0.425,0.689,0.677,0.634
449,0.519,0.573,0.633,0.595,0.460,0.352,0.738,,0.227,0.424,0.688,0.677,0.633
450,0.518,0.573,0.633,0.596,0.460,0.351,0.738,,0.227,0.424,0.688,0.676,0.633
451,0.517,0.574,0.633,0.596,0.461,0.351,0.738,,0.227,0.424,0.689,0.676,0.633
452,0.518,0.574,0.633,0.595,0.461,0.351,0.737,,0.227,0.424,0.689,0.677,0.633
453,0.518,0.573,0.633,0.595,0.460,0.351,0.738,,0.227,0.424,0.688,0.676,0.633
454,0.518,0.573,0.633,0.596,0.460,0.351,0.738,,0.227,0.424,0.688,0.677,0.633
455,0.517,0.573,0.633,0.596,0.460,0.351,0.738,,0.227,0.424,0.688,0.677,0.633
456,0.517,0.573,0.633,0.596,0.460,0.351,0.739,,0.228,0.424,0.688,0.677,0.633
457,0.518,0.573,0.633,0.596,0.460,0.350,0.738,,0.227,0.424,0.688,0.677,0.633
458,0.518,0.573,0.632,0.596,0.460,0.351,0.737,,0.227,0.424,0.688,0.677,0.632
459,0.518,0.573,0.632,0.595,0.460,0.351,0.737,,0.228,0.424,0.689,0.677,0.633
460,0.518,0.573,0.633,0.595,0.460,0.350,0.737,,0.227,0.424,0.688,0.677,0.633
461,0.517,0.573,0.633,0.595,0.460,0.351,0.738,,0.227,0.424,0.689,0.677,0.633
462,0.517,0.573,0.633,0.595,0.460,0.351,0.738,,0.228,0.424,0.689,0.677,0.633
463,0.518,0.573,0.633,0.595,0.460,0.351,0.738,,0.227,0.424,0.688,0.677,0.633
464,0.517,0.574,0.632,0.595,0.460,0.350,0.737,,0.227,0.423,0.688,0.676,0.633
465,0.517,0.573,0.632,0.596,0.460,0.351,0.737,,0.227,0.424,0.689,0.676,0.633
466,0.517,0.573,0.632,0.595,0.460,0.351,0.738,,0.227,0.424,0.689,0.677,0.633
467,0.517,0.573,0.632,0.595,0.460,0.350,0.738,,0.227,0.423,0.688,0.677,0.632
468,0.517,0.573,0.632,0.595,0.460,0.351,0.737,,0.228,0.424,0.688,0.677,0.633
469,0.517,0.573,0.632,0.595,0.460,0.351,0.737,,0.228,0.424,0.688,0.677,0.633
470,0.517,0.573,0.632,0.595,0.459,0.350,0.738,,0.228,0.424,0.688,0.676,0.632
471,0.517,0.572,0.632,0.595,0.459,0.350,0.738,,0.228,0.424,0.688,0.676,0.633
472,0.517,0.572,0.632,0.595,0.460,0.350,0.737,,0.228,0.424,0.688,0.677,0.632
473,0.517,0.573,0.632,0.595,0.459,0.350,0.738,,0.227,0.424,0.688,0.677,0.632
474,0.516,0.573,0.632,0.595,0.459,0.350,0.738,,0.228,0.425,0.689,0.676,0.633
475,0.516,0.572,0.632,0.595,0.460,0.350,0.737,,0.228,0.424,0.688,0.676,0.632
476,0.516,0.572,0.632,0.594,0.460,0.350,0.737,,0.228,0.425,0.689,0.676,0.632
477,0.516,0.572,0.632,0.594,0.459,0.350,0.737,,0.228,0.425,0.689,0.676,0.632
478,0.516,0.572,0.632,0.595,0.459,0.349,0.737,,0.227,0.424,0.688,0.676,0.632
479,0.516,0.572,0.632,0.595,0.459,0.349,0.737,,0.227,0.424,0.688,0.676,0.632
480,0.517,0.572,0.632,0.595,0.459,0.350,0.737,,0.227,0.424,0.688,0.676,0.632
481,0.516,0.572,0.632,0.595,0.459,0.350,0.737,,0.227,0.424,0.688,0.676,0.632
482,0.516,0.572,0.632,0.595,0.459,0.349,0.737,,0.227,0.424,0.688,0.676,0.632
