Start time (UTC), 1250 
 Sky conditions, CO-SDNV 
 Other notes, ASD only. RS (not 5 due to freshwater lens drilling) + BP for 1st time. Stern obs w/ NIR/microCT @ 1 5 + 7. 5A and 5B nearly indistinguishable visibly.  
 Ship latitude, 81.22533
 Ship longitude, 0.28287
Position, 1, 2, 3, 4, 6, 7, 8
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6
545,0.309,0.811,0.492,0.790,0.773,0.262,0.716
546,0.309,0.811,0.491,0.790,0.773,0.262,0.716
547,0.308,0.811,0.491,0.790,0.773,0.261,0.715
548,0.307,0.810,0.491,0.790,0.773,0.261,0.715
549,0.307,0.810,0.491,0.790,0.773,0.260,0.715
550,0.306,0.810,0.491,0.790,0.773,0.260,0.715
551,0.305,0.810,0.491,0.790,0.772,0.259,0.714
552,0.305,0.810,0.491,0.790,0.772,0.259,0.714
553,0.304,0.810,0.491,0.789,0.772,0.258,0.714
554,0.304,0.810,0.491,0.789,0.772,0.258,0.714
555,0.303,0.809,0.491,0.789,0.772,0.258,0.714
556,0.303,0.809,0.491,0.789,0.772,0.257,0.713
557,0.302,0.809,0.491,0.789,0.772,0.257,0.713
558,0.302,0.809,0.491,0.789,0.771,0.256,0.713
559,0.301,0.809,0.491,0.789,0.771,0.256,0.713
560,0.300,0.809,0.491,0.789,0.771,0.255,0.713
561,0.300,0.809,0.490,0.788,0.771,0.255,0.712
562,0.299,0.809,0.490,0.788,0.771,0.254,0.712
563,0.298,0.808,0.490,0.788,0.771,0.254,0.712
564,0.298,0.808,0.490,0.788,0.770,0.253,0.711
565,0.297,0.808,0.490,0.788,0.770,0.253,0.711
566,0.296,0.808,0.490,0.788,0.770,0.252,0.711
567,0.296,0.808,0.490,0.788,0.770,0.251,0.711
568,0.295,0.808,0.489,0.788,0.769,0.251,0.710
569,0.294,0.808,0.489,0.787,0.769,0.250,0.710
570,0.293,0.807,0.489,0.787,0.769,0.249,0.710
571,0.293,0.807,0.489,0.787,0.769,0.248,0.709
572,0.292,0.807,0.488,0.787,0.769,0.248,0.709
573,0.291,0.807,0.488,0.787,0.769,0.247,0.709
574,0.290,0.807,0.488,0.786,0.768,0.246,0.708
575,0.289,0.807,0.488,0.786,0.768,0.245,0.708
576,0.288,0.806,0.487,0.786,0.768,0.244,0.708
577,0.287,0.806,0.487,0.786,0.768,0.243,0.707
578,0.286,0.806,0.486,0.786,0.768,0.242,0.707
579,0.285,0.806,0.486,0.785,0.768,0.240,0.707
580,0.284,0.806,0.486,0.785,0.767,0.239,0.706
581,0.283,0.806,0.485,0.785,0.767,0.238,0.706
582,0.282,0.805,0.485,0.785,0.767,0.237,0.705
583,0.280,0.805,0.484,0.785,0.767,0.235,0.705
584,0.279,0.805,0.484,0.785,0.766,0.234,0.705
585,0.278,0.805,0.483,0.784,0.766,0.232,0.704
586,0.277,0.805,0.483,0.784,0.766,0.231,0.704
587,0.275,0.805,0.482,0.784,0.766,0.229,0.703
588,0.274,0.804,0.481,0.784,0.765,0.227,0.703
589,0.272,0.804,0.481,0.783,0.765,0.226,0.702
590,0.271,0.804,0.480,0.783,0.765,0.224,0.701
591,0.269,0.804,0.479,0.783,0.765,0.222,0.701
592,0.268,0.803,0.479,0.783,0.764,0.220,0.700
593,0.266,0.803,0.478,0.782,0.764,0.218,0.700
594,0.265,0.803,0.477,0.782,0.764,0.217,0.699
595,0.263,0.803,0.476,0.782,0.764,0.214,0.699
596,0.261,0.802,0.476,0.781,0.763,0.212,0.698
597,0.259,0.802,0.475,0.781,0.763,0.210,0.698
598,0.257,0.802,0.474,0.781,0.763,0.207,0.697
599,0.255,0.801,0.473,0.781,0.762,0.205,0.696
600,0.253,0.801,0.472,0.780,0.762,0.203,0.696
601,0.251,0.801,0.471,0.780,0.762,0.200,0.695
602,0.250,0.801,0.470,0.780,0.762,0.198,0.694
603,0.248,0.800,0.470,0.779,0.761,0.197,0.694
604,0.247,0.800,0.469,0.779,0.761,0.196,0.693
605,0.246,0.800,0.469,0.779,0.761,0.195,0.693
606,0.245,0.800,0.468,0.779,0.761,0.194,0.693
607,0.244,0.800,0.468,0.779,0.760,0.193,0.693
608,0.244,0.800,0.468,0.778,0.760,0.192,0.692
609,0.243,0.800,0.468,0.778,0.760,0.191,0.692
610,0.242,0.799,0.468,0.778,0.760,0.190,0.692
611,0.241,0.799,0.467,0.778,0.760,0.189,0.692
612,0.240,0.799,0.467,0.777,0.759,0.188,0.691
613,0.239,0.799,0.467,0.777,0.759,0.188,0.691
614,0.239,0.798,0.466,0.777,0.759,0.187,0.690
615,0.238,0.798,0.466,0.777,0.759,0.186,0.690
616,0.237,0.798,0.466,0.777,0.759,0.185,0.689
617,0.236,0.798,0.465,0.776,0.758,0.184,0.689
618,0.235,0.798,0.465,0.776,0.758,0.183,0.689
619,0.234,0.797,0.464,0.776,0.758,0.182,0.688
620,0.233,0.797,0.464,0.776,0.758,0.181,0.688
621,0.232,0.797,0.464,0.775,0.757,0.180,0.688
622,0.231,0.797,0.463,0.775,0.757,0.180,0.687
623,0.230,0.796,0.463,0.775,0.757,0.179,0.687
624,0.230,0.796,0.463,0.775,0.756,0.178,0.687
