Start time (UTC), 1129 
 Sky conditions, CO-SDV 
 Other notes, Cross-team destructive melt pond sampling @ pond 2-3. Felix measured same pond locations in order: 3, 2, 3.1, 3.2. L-Arm measurement taken at 2 w/ optics & CT cores (false bottom present). Other cores for nutrients methox DIC Chl. Magnaprobe survey of pond.  
 Ship latitude, 81.04501
 Ship longitude, 0.43322
Position,  1A,  1B,   2,   3, 3.1, 3.2
Surface type, S, P, P, P, P, P
Surface thickness (cm),  4.0,  8.0, 13.0,  NaN,  NaN,  NaN
Notes, darker wet patch in middle,             frozen surface,                        NaN,                        NaN,        bubbly pond bottom ,  white/cracked pond bottom
Change in incident (%),0.0, 0.0, 0.0, 0.0, 10.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5
507,0.693,0.406,0.377,0.385,0.456,0.498
508,0.693,0.406,0.377,0.385,0.456,0.497
509,0.693,0.406,0.377,0.384,0.456,0.497
510,0.692,0.406,0.376,0.384,0.455,0.496
511,0.692,0.406,0.376,0.384,0.455,0.496
512,0.692,0.406,0.376,0.383,0.455,0.495
513,0.692,0.406,0.376,0.383,0.455,0.495
514,0.692,0.406,0.376,0.383,0.455,0.494
515,0.692,0.406,0.376,0.383,0.455,0.494
516,0.692,0.406,0.376,0.382,0.455,0.494
517,0.692,0.406,0.376,0.382,0.455,0.494
518,0.692,0.406,0.376,0.382,0.455,0.494
519,0.692,0.406,0.376,0.382,0.455,0.493
520,0.692,0.406,0.376,0.382,0.455,0.493
521,0.692,0.406,0.376,0.382,0.455,0.493
522,0.692,0.406,0.376,0.382,0.455,0.493
523,0.692,0.406,0.376,0.382,0.455,0.493
524,0.692,0.406,0.376,0.381,0.454,0.493
525,0.692,0.405,0.376,0.381,0.454,0.493
526,0.692,0.405,0.376,0.381,0.454,0.492
527,0.692,0.405,0.376,0.381,0.454,0.492
528,0.692,0.405,0.375,0.381,0.454,0.492
529,0.692,0.405,0.375,0.380,0.454,0.491
530,0.692,0.405,0.375,0.380,0.453,0.491
531,0.692,0.405,0.375,0.380,0.453,0.491
532,0.692,0.405,0.374,0.379,0.453,0.490
533,0.692,0.405,0.374,0.379,0.452,0.490
534,0.692,0.404,0.374,0.378,0.452,0.489
535,0.691,0.404,0.373,0.378,0.451,0.489
536,0.692,0.404,0.373,0.377,0.451,0.488
537,0.691,0.404,0.373,0.377,0.450,0.488
538,0.691,0.404,0.372,0.376,0.450,0.487
539,0.691,0.404,0.372,0.376,0.449,0.487
540,0.691,0.403,0.371,0.375,0.448,0.486
541,0.691,0.403,0.371,0.375,0.448,0.485
542,0.691,0.403,0.370,0.374,0.447,0.485
543,0.691,0.403,0.370,0.373,0.447,0.484
544,0.691,0.403,0.369,0.373,0.446,0.483
545,0.691,0.402,0.368,0.372,0.445,0.483
546,0.691,0.402,0.368,0.371,0.444,0.482
547,0.690,0.402,0.367,0.371,0.443,0.481
548,0.690,0.402,0.366,0.370,0.442,0.480
549,0.690,0.401,0.366,0.369,0.442,0.479
550,0.690,0.401,0.365,0.368,0.441,0.478
551,0.690,0.401,0.364,0.367,0.440,0.477
552,0.690,0.400,0.363,0.367,0.439,0.477
553,0.690,0.400,0.363,0.366,0.438,0.476
554,0.690,0.400,0.362,0.365,0.437,0.475
555,0.690,0.400,0.361,0.364,0.437,0.474
556,0.689,0.399,0.361,0.364,0.436,0.474
557,0.689,0.399,0.360,0.363,0.435,0.473
558,0.689,0.399,0.359,0.362,0.434,0.472
559,0.689,0.399,0.359,0.362,0.433,0.471
560,0.689,0.398,0.358,0.361,0.432,0.470
561,0.689,0.398,0.357,0.360,0.432,0.469
562,0.689,0.398,0.356,0.359,0.431,0.468
563,0.689,0.398,0.356,0.358,0.430,0.468
564,0.688,0.397,0.355,0.357,0.429,0.467
565,0.688,0.397,0.354,0.356,0.428,0.466
566,0.688,0.397,0.353,0.356,0.427,0.465
567,0.688,0.396,0.352,0.355,0.425,0.464
568,0.688,0.396,0.351,0.353,0.424,0.462
569,0.688,0.395,0.350,0.352,0.423,0.461
570,0.687,0.395,0.349,0.351,0.422,0.460
571,0.687,0.395,0.348,0.350,0.421,0.459
572,0.687,0.394,0.347,0.349,0.419,0.458
573,0.687,0.394,0.346,0.348,0.418,0.456
574,0.687,0.393,0.344,0.347,0.417,0.455
575,0.687,0.393,0.343,0.346,0.415,0.454
576,0.687,0.392,0.342,0.345,0.414,0.452
577,0.687,0.392,0.341,0.343,0.412,0.451
578,0.686,0.392,0.339,0.342,0.410,0.449
579,0.686,0.391,0.338,0.340,0.409,0.447
580,0.686,0.391,0.336,0.339,0.407,0.445
581,0.686,0.390,0.334,0.337,0.405,0.444
582,0.686,0.389,0.333,0.336,0.403,0.442
583,0.686,0.389,0.331,0.334,0.401,0.440
584,0.685,0.388,0.329,0.332,0.399,0.438
585,0.685,0.387,0.327,0.331,0.397,0.436
586,0.685,0.387,0.325,0.329,0.395,0.433
587,0.685,0.386,0.323,0.327,0.392,0.431
588,0.685,0.385,0.322,0.325,0.390,0.429
589,0.685,0.385,0.320,0.323,0.388,0.427
590,0.685,0.384,0.318,0.322,0.385,0.424
591,0.684,0.383,0.316,0.320,0.383,0.422
592,0.684,0.382,0.314,0.318,0.381,0.420
593,0.684,0.382,0.311,0.316,0.378,0.417
594,0.684,0.381,0.309,0.314,0.376,0.415
595,0.684,0.380,0.307,0.312,0.373,0.412
596,0.684,0.379,0.304,0.309,0.370,0.409
597,0.683,0.378,0.301,0.307,0.367,0.406
598,0.683,0.377,0.299,0.304,0.363,0.403
599,0.683,0.376,0.296,0.301,0.360,0.399
600,0.683,0.375,0.293,0.299,0.357,0.396
601,0.682,0.374,0.291,0.297,0.354,0.393
602,0.682,0.373,0.289,0.295,0.351,0.391
603,0.682,0.372,0.287,0.293,0.349,0.389
604,0.682,0.371,0.285,0.291,0.347,0.387
605,0.682,0.371,0.284,0.290,0.346,0.386
606,0.681,0.370,0.283,0.289,0.344,0.384
607,0.681,0.370,0.282,0.288,0.343,0.383
608,0.681,0.369,0.281,0.287,0.342,0.382
609,0.681,0.369,0.279,0.285,0.341,0.381
610,0.681,0.368,0.278,0.284,0.339,0.380
611,0.681,0.368,0.277,0.283,0.338,0.378
612,0.681,0.367,0.276,0.282,0.337,0.377
613,0.680,0.367,0.275,0.281,0.335,0.376
614,0.680,0.366,0.274,0.280,0.334,0.375
615,0.680,0.366,0.273,0.279,0.333,0.373
616,0.680,0.365,0.272,0.278,0.331,0.372
617,0.680,0.365,0.270,0.276,0.330,0.371
618,0.679,0.364,0.269,0.275,0.328,0.370
619,0.679,0.364,0.268,0.274,0.327,0.368
620,0.679,0.363,0.267,0.273,0.326,0.367
621,0.679,0.363,0.266,0.272,0.324,0.366
622,0.678,0.362,0.265,0.270,0.323,0.365
623,0.678,0.362,0.264,0.269,0.322,0.363
624,0.678,0.361,0.263,0.268,0.320,0.362
625,0.678,0.360,0.261,0.267,0.319,0.361
626,0.678,0.360,0.260,0.266,0.318,0.359
627,0.677,0.359,0.259,0.265,0.316,0.358
628,0.677,0.359,0.258,0.264,0.315,0.357
629,0.677,0.358,0.257,0.262,0.314,0.356
630,0.676,0.357,0.256,0.261,0.312,0.355
631,0.676,0.357,0.255,0.260,0.311,0.353
632,0.676,0.356,0.254,0.259,0.310,0.352
633,0.676,0.356,0.253,0.258,0.309,0.351
634,0.675,0.355,0.252,0.257,0.307,0.349
635,0.675,0.354,0.251,0.256,0.306,0.348
636,0.675,0.354,0.250,0.255,0.305,0.347
637,0.675,0.353,0.249,0.254,0.304,0.346
638,0.674,0.353,0.247,0.253,0.302,0.345
639,0.674,0.352,0.246,0.252,0.301,0.344
640,0.674,0.352,0.245,0.251,0.300,0.343
641,0.673,0.351,0.244,0.250,0.299,0.341
642,0.673,0.351,0.243,0.248,0.298,0.340
643,0.673,0.350,0.243,0.247,0.296,0.339
644,0.672,0.350,0.242,0.247,0.295,0.338
645,0.672,0.349,0.240,0.246,0.294,0.337
646,0.672,0.348,0.240,0.245,0.293,0.336
647,0.671,0.348,0.239,0.244,0.292,0.334
648,0.671,0.347,0.238,0.243,0.291,0.333
649,0.671,0.347,0.237,0.242,0.290,0.332
650,0.671,0.346,0.236,0.241,0.288,0.331
651,0.670,0.346,0.235,0.240,0.287,0.330
652,0.670,0.345,0.233,0.239,0.286,0.329
653,0.670,0.344,0.232,0.237,0.284,0.327
654,0.669,0.344,0.231,0.236,0.283,0.326
655,0.669,0.343,0.230,0.235,0.282,0.325
656,0.669,0.342,0.229,0.234,0.280,0.323
657,0.668,0.341,0.228,0.233,0.278,0.321
658,0.668,0.341,0.226,0.232,0.277,0.320
659,0.667,0.340,0.225,0.231,0.276,0.319
660,0.667,0.339,0.224,0.230,0.275,0.318
661,0.667,0.339,0.223,0.229,0.274,0.317
662,0.667,0.338,0.223,0.228,0.273,0.316
663,0.666,0.338,0.222,0.227,0.272,0.315
664,0.666,0.337,0.221,0.227,0.271,0.314
665,0.666,0.337,0.220,0.226,0.270,0.313
666,0.665,0.336,0.219,0.225,0.269,0.312
667,0.665,0.336,0.219,0.224,0.268,0.312
668,0.665,0.335,0.218,0.224,0.267,0.311
669,0.665,0.335,0.217,0.223,0.267,0.310
670,0.664,0.334,0.217,0.223,0.266,0.309
671,0.664,0.334,0.216,0.222,0.265,0.309
672,0.664,0.333,0.215,0.221,0.264,0.308
673,0.663,0.333,0.215,0.221,0.263,0.307
674,0.663,0.332,0.214,0.220,0.262,0.306
675,0.663,0.332,0.213,0.219,0.262,0.305
676,0.663,0.332,0.212,0.218,0.261,0.304
677,0.662,0.331,0.212,0.218,0.260,0.304
678,0.662,0.331,0.211,0.217,0.259,0.303
679,0.662,0.330,0.210,0.216,0.258,0.302
680,0.661,0.329,0.210,0.215,0.257,0.301
681,0.661,0.329,0.209,0.215,0.256,0.300
682,0.661,0.328,0.208,0.214,0.255,0.299
683,0.660,0.328,0.207,0.213,0.254,0.298
684,0.660,0.328,0.207,0.213,0.254,0.297
685,0.660,0.327,0.206,0.212,0.253,0.296
686,0.660,0.327,0.206,0.212,0.252,0.295
687,0.659,0.326,0.205,0.211,0.251,0.294
688,0.659,0.325,0.204,0.210,0.250,0.293
689,0.658,0.325,0.203,0.209,0.249,0.291
690,0.658,0.324,0.202,0.208,0.248,0.290
691,0.658,0.323,0.201,0.207,0.246,0.289
692,0.657,0.323,0.200,0.206,0.245,0.287
693,0.657,0.322,0.199,0.205,0.244,0.286
694,0.656,0.321,0.198,0.204,0.242,0.284
695,0.656,0.320,0.197,0.203,0.241,0.282
696,0.655,0.319,0.196,0.202,0.239,0.281
697,0.655,0.318,0.194,0.200,0.238,0.279
698,0.654,0.317,0.193,0.199,0.236,0.277
699,0.653,0.316,0.192,0.198,0.234,0.275
700,0.653,0.315,0.190,0.197,0.232,0.273
701,0.652,0.314,0.189,0.195,0.231,0.271
702,0.651,0.313,0.187,0.194,0.229,0.269
703,0.651,0.312,0.186,0.193,0.227,0.267
704,0.650,0.310,0.185,0.191,0.225,0.265
705,0.649,0.309,0.183,0.190,0.223,0.263
706,0.649,0.308,0.182,0.189,0.221,0.261
707,0.648,0.307,0.180,0.187,0.219,0.259
708,0.647,0.305,0.179,0.186,0.217,0.257
709,0.647,0.304,0.178,0.185,0.216,0.255
710,0.646,0.303,0.176,0.183,0.214,0.253
711,0.645,0.302,0.174,0.182,0.211,0.250
712,0.645,0.300,0.173,0.180,0.209,0.248
713,0.644,0.299,0.171,0.179,0.207,0.246
714,0.643,0.298,0.170,0.178,0.205,0.244
715,0.642,0.296,0.168,0.176,0.203,0.241
716,0.642,0.295,0.167,0.175,0.201,0.239
717,0.641,0.294,0.165,0.174,0.199,0.236
718,0.640,0.292,0.164,0.172,0.197,0.234
719,0.639,0.290,0.162,0.171,0.194,0.231
720,0.638,0.288,0.160,0.169,0.192,0.228
721,0.638,0.287,0.159,0.168,0.190,0.226
722,0.637,0.286,0.158,0.167,0.188,0.224
723,0.637,0.285,0.156,0.166,0.186,0.221
724,0.636,0.283,0.155,0.164,0.184,0.219
725,0.635,0.281,0.153,0.163,0.182,0.216
726,0.634,0.280,0.152,0.162,0.180,0.213
727,0.633,0.278,0.150,0.160,0.177,0.211
728,0.632,0.276,0.149,0.159,0.175,0.208
729,0.632,0.274,0.147,0.157,0.172,0.204
730,0.631,0.272,0.145,0.156,0.169,0.201
731,0.630,0.270,0.144,0.154,0.167,0.198
732,0.629,0.268,0.142,0.153,0.164,0.195
733,0.628,0.267,0.141,0.152,0.162,0.192
734,0.627,0.265,0.140,0.151,0.161,0.190
735,0.626,0.264,0.139,0.150,0.159,0.188
736,0.626,0.263,0.138,0.149,0.158,0.186
737,0.625,0.262,0.137,0.148,0.156,0.185
738,0.624,0.261,0.137,0.148,0.156,0.183
739,0.624,0.260,0.136,0.147,0.155,0.182
740,0.623,0.259,0.136,0.147,0.154,0.181
741,0.623,0.259,0.136,0.147,0.154,0.181
742,0.622,0.258,0.135,0.146,0.153,0.180
743,0.621,0.258,0.135,0.146,0.153,0.179
744,0.621,0.257,0.135,0.146,0.152,0.179
745,0.620,0.257,0.134,0.145,0.152,0.178
746,0.620,0.256,0.134,0.145,0.151,0.178
747,0.619,0.256,0.134,0.145,0.151,0.177
748,0.618,0.255,0.134,0.145,0.150,0.176
749,0.617,0.255,0.133,0.144,0.150,0.176
750,0.617,0.254,0.133,0.144,0.149,0.175
751,0.616,0.254,0.133,0.144,0.149,0.175
752,0.615,0.253,0.132,0.143,0.149,0.174
753,0.614,0.252,0.132,0.143,0.148,0.173
754,0.613,0.252,0.132,0.143,0.148,0.173
755,0.612,0.251,0.132,0.142,0.147,0.172
756,0.611,0.251,0.131,0.142,0.147,0.172
757,0.611,0.250,0.131,0.142,0.146,0.171
758,0.610,0.250,0.131,0.142,0.146,0.171
759,0.609,0.250,0.131,0.142,0.147,0.171
760,0.608,0.249,0.131,0.142,0.146,0.171
761,0.606,0.248,0.130,0.142,0.146,0.170
762,0.605,0.247,0.130,0.141,0.145,0.169
763,0.604,0.247,0.130,0.141,0.145,0.168
764,0.602,0.246,0.129,0.140,0.144,0.167
765,0.601,0.245,0.129,0.140,0.143,0.166
766,0.600,0.244,0.129,0.139,0.143,0.166
767,0.600,0.244,0.128,0.139,0.143,0.165
768,0.599,0.244,0.128,0.139,0.142,0.165
769,0.598,0.243,0.128,0.139,0.142,0.164
770,0.597,0.242,0.128,0.138,0.141,0.164
771,0.595,0.242,0.127,0.138,0.141,0.164
772,0.594,0.241,0.127,0.138,0.141,0.163
773,0.593,0.241,0.127,0.138,0.140,0.163
774,0.592,0.240,0.127,0.137,0.140,0.162
775,0.591,0.240,0.127,0.137,0.140,0.162
776,0.590,0.239,0.126,0.137,0.140,0.161
777,0.589,0.239,0.126,0.137,0.139,0.161
778,0.588,0.238,0.126,0.137,0.139,0.161
779,0.587,0.238,0.126,0.137,0.139,0.161
780,0.586,0.237,0.126,0.136,0.139,0.160
781,0.585,0.237,0.126,0.136,0.139,0.160
782,0.584,0.237,0.125,0.136,0.139,0.160
783,0.583,0.236,0.125,0.136,0.138,0.160
784,0.582,0.236,0.125,0.136,0.138,0.160
785,0.581,0.236,0.125,0.136,0.138,0.159
786,0.580,0.235,0.125,0.136,0.138,0.159
787,0.579,0.235,0.125,0.136,0.138,0.159
788,0.579,0.235,0.125,0.135,0.138,0.159
789,0.578,0.234,0.125,0.135,0.138,0.159
790,0.577,0.234,0.125,0.135,0.138,0.159
791,0.576,0.234,0.125,0.135,0.138,0.159
792,0.576,0.234,0.125,0.135,0.138,0.159
793,0.575,0.234,0.125,0.135,0.138,0.159
794,0.575,0.234,0.125,0.135,0.138,0.159
795,0.574,0.234,0.125,0.135,0.138,0.159
796,0.574,0.234,0.125,0.135,0.138,0.159
797,0.574,0.234,0.125,0.135,0.138,0.159
798,0.573,0.234,0.125,0.135,0.138,0.159
799,0.573,0.233,0.124,0.135,0.138,0.159
800,0.576,0.234,0.125,0.135,0.138,0.159
801,0.575,0.234,0.125,0.135,0.138,0.159
802,0.575,0.234,0.125,0.135,0.138,0.159
803,0.574,0.234,0.125,0.135,0.138,0.159
804,0.574,0.234,0.125,0.135,0.138,0.159
805,0.574,0.234,0.125,0.135,0.138,0.159
806,0.573,0.234,0.125,0.135,0.139,0.160
807,0.573,0.234,0.125,0.135,0.139,0.160
808,0.573,0.234,0.125,0.135,0.139,0.160
809,0.573,0.234,0.125,0.135,0.139,0.160
810,0.573,0.234,0.125,0.135,0.139,0.160
