Start time (UTC), 1035 
 Sky conditions, CO-SDNV to CO-SDV 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.51269
 Ship longitude, 2.39455
Position, 1A, 1B,  2,  3,  4, 5A,  6,  7
Surface type, S, P, P, P, P, S, P, S
Surface thickness (cm),  NaN,  NaN, 17.5,  7.5, 24.0,  NaN, 16.0,  3.0
Notes, 14cm snow/SSL. NOTE: incident scan bad/lost? u..., area shoveled 1 week prior - ~1cm water on sur...,                15-20 cm. porous sedimented bottom,                             6-9 cm. bubbly bottom,                   less deep over white band/crack,                                    SSL clean area,                                             16 cm,                                  drained pond SSL
Change in incident (%),350.0, 40.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
452,,0.507,0.396,0.377,0.492,0.758,0.562,0.722
453,,0.507,0.396,0.377,0.493,0.758,0.562,0.722
454,,0.507,0.396,0.377,0.493,0.758,0.563,0.722
455,,0.507,0.396,0.377,0.493,0.758,0.563,0.722
456,,0.507,0.396,0.377,0.493,0.759,0.563,0.722
457,,0.507,0.397,0.377,0.494,0.759,0.564,0.723
458,,0.507,0.397,0.377,0.494,0.759,0.564,0.723
459,,0.507,0.397,0.377,0.494,0.759,0.564,0.723
460,,0.508,0.397,0.377,0.494,0.759,0.564,0.723
461,,0.507,0.397,0.377,0.495,0.759,0.564,0.723
462,,0.507,0.397,0.377,0.495,0.759,0.564,0.723
463,,0.508,0.397,0.377,0.495,0.759,0.565,0.723
464,,0.507,0.397,0.377,0.495,0.760,0.565,0.723
465,,0.508,0.398,0.377,0.495,0.760,0.565,0.724
466,,0.508,0.398,0.378,0.496,0.760,0.565,0.724
467,,0.508,0.398,0.378,0.496,0.760,0.565,0.724
468,,0.508,0.398,0.378,0.496,0.760,0.565,0.724
469,,0.508,0.398,0.378,0.496,0.760,0.566,0.724
470,,0.508,0.399,0.378,0.496,0.760,0.566,0.724
471,,0.508,0.399,0.378,0.496,0.761,0.566,0.724
472,,0.508,0.399,0.378,0.496,0.760,0.566,0.724
473,,0.508,0.399,0.378,0.497,0.760,0.566,0.724
474,,0.508,0.399,0.378,0.497,0.761,0.566,0.724
475,,0.508,0.400,0.378,0.497,0.761,0.566,0.724
476,,0.508,0.400,0.378,0.497,0.761,0.566,0.724
477,,0.507,0.400,0.379,0.497,0.761,0.566,0.724
478,,0.507,0.400,0.379,0.497,0.761,0.566,0.724
479,,0.507,0.400,0.379,0.497,0.761,0.566,0.724
480,,0.507,0.401,0.379,0.497,0.761,0.566,0.724
481,,0.507,0.401,0.379,0.497,0.761,0.566,0.725
482,,0.507,0.401,0.379,0.497,0.761,0.566,0.724
483,,0.507,0.401,0.379,0.497,0.761,0.566,0.725
484,,0.507,0.400,0.378,0.497,0.761,0.566,0.725
485,,0.507,0.400,0.378,0.497,0.761,0.566,0.724
486,,0.507,0.400,0.378,0.497,0.761,0.566,0.724
487,,0.507,0.400,0.378,0.497,0.761,0.566,0.725
488,,0.507,0.400,0.378,0.497,0.761,0.566,0.724
489,,0.507,0.400,0.378,0.497,0.761,0.566,0.724
490,,0.506,0.400,0.378,0.497,0.761,0.565,0.724
491,,0.506,0.399,0.378,0.497,0.761,0.565,0.724
492,,0.506,0.399,0.378,0.497,0.761,0.565,0.724
493,,0.506,0.399,0.377,0.497,0.761,0.565,0.724
494,,0.506,0.399,0.377,0.496,0.761,0.565,0.724
495,,0.506,0.398,0.377,0.496,0.761,0.564,0.724
496,,0.506,0.398,0.377,0.496,0.761,0.564,0.724
497,,0.505,0.398,0.377,0.496,0.761,0.564,0.724
498,,0.505,0.398,0.377,0.496,0.761,0.564,0.723
499,,0.505,0.398,0.377,0.495,0.761,0.564,0.723
500,,0.505,0.398,0.376,0.495,0.761,0.563,0.723
501,,0.505,0.398,0.376,0.495,0.761,0.563,0.723
502,,0.505,0.398,0.376,0.495,0.761,0.562,0.723
503,,0.505,0.398,0.376,0.494,0.761,0.562,0.723
504,,0.504,0.398,0.376,0.494,0.761,0.562,0.722
505,,0.504,0.398,0.376,0.494,0.760,0.561,0.722
506,,0.504,0.398,0.376,0.493,0.760,0.561,0.722
507,,0.504,0.398,0.376,0.493,0.760,0.560,0.722
508,,0.504,0.398,0.376,0.492,0.760,0.559,0.721
509,,0.503,0.398,0.375,0.491,0.760,0.559,0.721
