Start time (UTC), 1012 
 Sky conditions, CO-SDNV mostly, occasionally drizzly 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.44935
 Ship longitude, 1.63279
Position, 1, 2, 3, 4, 5, 6, 7, 8
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
Change in incident (%),0.0, 0.0, 0.0, 20.0, 30.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
453,0.347,0.773,0.600,0.767,0.792,0.760,0.294,0.696
454,0.347,0.773,0.600,0.767,0.792,0.760,0.294,0.696
455,0.347,0.773,0.601,0.768,0.792,0.760,0.294,0.696
456,0.347,0.773,0.601,0.768,0.792,0.760,0.294,0.697
457,0.347,0.773,0.601,0.768,0.792,0.760,0.294,0.696
458,0.347,0.773,0.601,0.768,0.792,0.760,0.294,0.696
459,0.347,0.774,0.602,0.768,0.792,0.760,0.295,0.696
460,0.347,0.774,0.602,0.768,0.792,0.760,0.295,0.696
461,0.347,0.774,0.602,0.769,0.792,0.760,0.295,0.696
462,0.347,0.774,0.603,0.769,0.792,0.760,0.295,0.696
463,0.346,0.774,0.603,0.769,0.792,0.760,0.295,0.696
464,0.346,0.774,0.603,0.769,0.792,0.760,0.295,0.696
465,0.346,0.774,0.603,0.769,0.792,0.760,0.295,0.696
466,0.346,0.774,0.604,0.769,0.792,0.760,0.296,0.696
467,0.346,0.774,0.604,0.770,0.792,0.759,0.296,0.696
468,0.346,0.774,0.604,0.769,0.792,0.759,0.296,0.696
469,0.346,0.774,0.604,0.770,0.792,0.759,0.296,0.696
470,0.346,0.774,0.605,0.770,0.792,0.759,0.296,0.696
471,0.346,0.774,0.605,0.770,0.792,0.759,0.296,0.696
472,0.346,0.774,0.605,0.770,0.792,0.759,0.296,0.696
473,0.346,0.774,0.605,0.770,0.792,0.759,0.296,0.696
474,0.346,0.774,0.606,0.770,0.792,0.759,0.296,0.696
475,0.346,0.774,0.606,0.770,0.792,0.759,0.296,0.696
476,0.345,0.774,0.606,0.770,0.793,0.759,0.297,0.696
477,0.345,0.774,0.606,0.771,0.793,0.759,0.297,0.696
478,0.345,0.774,0.606,0.771,0.793,0.759,0.297,0.696
479,0.345,0.774,0.607,0.771,0.793,0.759,0.297,0.696
480,0.345,0.774,0.607,0.771,0.792,0.759,0.297,0.696
481,0.345,0.774,0.607,0.771,0.792,0.759,0.297,0.696
482,0.345,0.774,0.607,0.771,0.792,0.759,0.297,0.696
483,0.345,0.774,0.607,0.771,0.792,0.759,0.297,0.696
484,0.344,0.774,0.608,0.771,0.792,0.758,0.297,0.696
485,0.344,0.774,0.608,0.771,0.792,0.758,0.297,0.696
486,0.344,0.774,0.608,0.771,0.792,0.758,0.296,0.695
487,0.344,0.774,0.608,0.771,0.792,0.758,0.296,0.695
488,0.344,0.774,0.608,0.771,0.792,0.758,0.296,0.695
489,0.343,0.774,0.609,0.771,0.792,0.758,0.296,0.695
490,0.343,0.773,0.609,0.771,0.792,0.758,0.296,0.695
491,0.343,0.773,0.609,0.772,0.792,0.758,0.296,0.695
492,0.342,0.773,0.609,0.772,0.792,0.758,0.296,0.695
493,0.342,0.773,0.609,0.772,0.792,0.758,0.296,0.695
494,0.342,0.773,0.609,0.772,0.792,0.758,0.296,0.695
495,0.342,0.773,0.610,0.772,0.792,0.757,0.296,0.695
496,0.341,0.773,0.610,0.772,0.792,0.757,0.296,0.695
497,0.341,0.773,0.610,0.772,0.792,0.757,0.296,0.694
498,0.341,0.773,0.610,0.772,0.792,0.757,0.295,0.694
499,0.340,0.773,0.610,0.772,0.792,0.757,0.295,0.694
500,0.340,0.773,0.610,0.772,0.792,0.757,0.295,0.694
501,0.340,0.773,0.611,0.772,0.792,0.757,0.295,0.694
502,0.339,0.773,0.611,0.772,0.792,0.757,0.295,0.694
503,0.339,0.773,0.611,0.772,0.792,0.756,0.295,0.694
504,0.339,0.772,0.611,0.772,0.792,0.756,0.295,0.694
505,0.338,0.772,0.611,0.772,0.792,0.756,0.295,0.693
506,0.338,0.772,0.611,0.772,0.792,0.756,0.294,0.693
507,0.337,0.772,0.612,0.772,0.792,0.756,0.294,0.693
508,0.337,0.772,0.612,0.772,0.792,0.756,0.294,0.693
509,0.336,0.772,0.612,0.772,0.792,0.756,0.293,0.693
510,0.336,0.772,0.612,0.772,0.792,0.756,0.293,0.693
511,0.335,0.772,0.612,0.772,0.792,0.756,0.293,0.693
512,0.334,0.772,0.612,0.772,0.791,0.756,0.293,0.692
513,0.334,0.772,0.612,0.772,0.791,0.756,0.292,0.692
514,0.334,0.772,0.612,0.772,0.791,0.755,0.292,0.692
515,0.333,0.772,0.612,0.772,0.791,0.755,0.292,0.692
516,0.333,0.772,0.613,0.772,0.791,0.755,0.292,0.692
517,0.333,0.771,0.613,0.772,0.791,0.755,0.292,0.692
518,0.332,0.771,0.613,0.772,0.791,0.755,0.292,0.692
519,0.332,0.771,0.613,0.772,0.791,0.755,0.292,0.692
520,0.331,0.771,0.613,0.772,0.791,0.755,0.292,0.692
521,0.331,0.771,0.613,0.772,0.791,0.755,0.291,0.691
522,0.331,0.771,0.613,0.772,0.791,0.755,0.291,0.691
523,0.330,0.771,0.613,0.772,0.791,0.755,0.291,0.691
524,0.330,0.771,0.614,0.772,0.791,0.754,0.291,0.691
525,0.330,0.771,0.614,0.772,0.791,0.754,0.291,0.691
526,0.329,0.771,0.614,0.772,0.791,0.754,0.291,0.691
527,0.329,0.770,0.614,0.772,0.791,0.754,0.291,0.691
528,0.328,0.770,0.614,0.772,0.791,0.754,0.291,0.690
529,0.328,0.770,0.614,0.772,0.790,0.754,0.291,0.690
530,0.328,0.770,0.614,0.772,0.790,0.754,0.290,0.690
531,0.327,0.770,0.614,0.772,0.790,0.753,0.290,0.690
532,0.327,0.770,0.615,0.772,0.790,0.753,0.290,0.690
533,0.326,0.770,0.615,0.772,0.790,0.753,0.290,0.689
534,0.326,0.769,0.615,0.772,0.790,0.753,0.290,0.689
535,0.325,0.769,0.615,0.771,0.790,0.753,0.289,0.689
536,0.325,0.769,0.615,0.771,0.790,0.753,0.289,0.689
537,0.324,0.769,0.615,0.771,0.790,0.752,0.289,0.689
538,0.324,0.769,0.615,0.771,0.790,0.752,0.288,0.689
539,0.323,0.769,0.615,0.771,0.789,0.752,0.288,0.688
540,0.322,0.768,0.615,0.771,0.789,0.752,0.288,0.688
541,0.322,0.768,0.615,0.771,0.789,0.752,0.287,0.688
542,0.321,0.768,0.615,0.771,0.789,0.751,0.287,0.688
543,0.321,0.768,0.615,0.771,0.789,0.751,0.287,0.687
544,0.320,0.768,0.615,0.770,0.789,0.751,0.286,0.687
545,0.319,0.767,0.615,0.770,0.789,0.751,0.286,0.687
546,0.319,0.767,0.615,0.770,0.788,0.751,0.285,0.687
547,0.318,0.767,0.615,0.770,0.788,0.750,0.285,0.686
548,0.317,0.767,0.615,0.770,0.788,0.750,0.284,0.686
549,0.316,0.767,0.615,0.770,0.788,0.750,0.284,0.686
550,0.316,0.766,0.615,0.769,0.788,0.750,0.283,0.686
551,0.315,0.766,0.615,0.769,0.788,0.750,0.283,0.685
552,0.314,0.766,0.615,0.769,0.788,0.749,0.282,0.685
553,0.314,0.766,0.615,0.769,0.787,0.749,0.282,0.685
554,0.313,0.765,0.615,0.769,0.787,0.749,0.281,0.685
555,0.312,0.765,0.615,0.769,0.787,0.749,0.281,0.684
556,0.312,0.765,0.614,0.769,0.787,0.749,0.280,0.684
557,0.311,0.765,0.614,0.768,0.787,0.748,0.280,0.684
558,0.310,0.764,0.614,0.768,0.787,0.748,0.279,0.684
559,0.310,0.764,0.614,0.768,0.786,0.748,0.279,0.683
560,0.309,0.764,0.614,0.768,0.786,0.748,0.278,0.683
561,0.308,0.764,0.614,0.768,0.786,0.747,0.278,0.683
562,0.308,0.763,0.614,0.767,0.786,0.747,0.277,0.682
563,0.307,0.763,0.614,0.767,0.786,0.747,0.277,0.682
564,0.306,0.763,0.614,0.767,0.785,0.747,0.276,0.682
565,0.305,0.763,0.614,0.767,0.785,0.746,0.275,0.681
566,0.305,0.762,0.614,0.767,0.785,0.746,0.275,0.681
567,0.304,0.762,0.614,0.766,0.785,0.746,0.274,0.681
568,0.303,0.762,0.613,0.766,0.785,0.745,0.273,0.680
569,0.302,0.761,0.613,0.766,0.784,0.745,0.273,0.680
570,0.301,0.761,0.613,0.766,0.784,0.745,0.272,0.680
571,0.300,0.761,0.613,0.766,0.784,0.744,0.271,0.679
572,0.299,0.761,0.613,0.765,0.784,0.744,0.270,0.679
573,0.298,0.760,0.613,0.765,0.784,0.744,0.269,0.679
574,0.297,0.760,0.612,0.765,0.783,0.743,0.268,0.678
575,0.296,0.760,0.612,0.765,0.783,0.743,0.267,0.678
576,0.295,0.759,0.612,0.764,0.783,0.743,0.267,0.677
577,0.294,0.759,0.612,0.764,0.783,0.743,0.266,0.677
578,0.293,0.759,0.612,0.764,0.783,0.743,0.264,0.677
579,0.292,0.759,0.611,0.764,0.783,0.742,0.263,0.676
580,0.291,0.758,0.611,0.763,0.782,0.742,0.262,0.676
581,0.290,0.758,0.611,0.763,0.782,0.742,0.261,0.676
582,0.288,0.758,0.610,0.763,0.782,0.742,0.259,0.675
583,0.287,0.757,0.610,0.762,0.782,0.741,0.258,0.675
584,0.286,0.757,0.610,0.762,0.781,0.741,0.256,0.674
585,0.284,0.757,0.609,0.762,0.781,0.741,0.255,0.674
586,0.283,0.756,0.609,0.761,0.781,0.740,0.253,0.673
587,0.281,0.756,0.608,0.761,0.781,0.740,0.251,0.673
588,0.280,0.755,0.608,0.761,0.780,0.739,0.250,0.672
589,0.278,0.755,0.608,0.760,0.780,0.739,0.248,0.671
590,0.277,0.754,0.607,0.760,0.780,0.738,0.247,0.671
591,0.275,0.754,0.607,0.760,0.780,0.738,0.245,0.670
592,0.274,0.754,0.607,0.759,0.779,0.738,0.243,0.670
593,0.272,0.753,0.606,0.759,0.779,0.737,0.241,0.670
594,0.271,0.753,0.606,0.759,0.779,0.737,0.239,0.669
595,0.269,0.752,0.605,0.758,0.779,0.737,0.237,0.668
596,0.267,0.752,0.604,0.758,0.778,0.736,0.235,0.668
597,0.265,0.752,0.604,0.757,0.778,0.736,0.233,0.667
598,0.263,0.751,0.603,0.757,0.778,0.736,0.230,0.667
599,0.261,0.751,0.603,0.756,0.777,0.735,0.228,0.666
600,0.259,0.750,0.602,0.756,0.777,0.735,0.225,0.666
601,0.257,0.750,0.601,0.755,0.777,0.735,0.223,0.665
602,0.256,0.749,0.601,0.755,0.776,0.735,0.221,0.665
603,0.254,0.749,0.601,0.754,0.776,0.734,0.220,0.664
604,0.253,0.749,0.600,0.754,0.776,0.734,0.219,0.664
605,0.252,0.748,0.600,0.754,0.776,0.734,0.218,0.664
606,0.251,0.748,0.600,0.754,0.776,0.734,0.217,0.663
607,0.250,0.748,0.600,0.753,0.775,0.733,0.216,0.663
608,0.249,0.747,0.599,0.753,0.775,0.733,0.215,0.663
609,0.249,0.747,0.599,0.753,0.775,0.733,0.214,0.662
610,0.248,0.747,0.599,0.752,0.775,0.732,0.213,0.662
611,0.247,0.746,0.599,0.752,0.774,0.732,0.213,0.662
612,0.246,0.746,0.599,0.752,0.774,0.732,0.212,0.661
613,0.245,0.745,0.598,0.751,0.774,0.731,0.211,0.661
614,0.244,0.745,0.598,0.751,0.774,0.731,0.210,0.660
615,0.243,0.744,0.598,0.751,0.773,0.731,0.209,0.660
616,0.242,0.744,0.598,0.750,0.773,0.730,0.208,0.660
617,0.241,0.744,0.597,0.750,0.773,0.730,0.207,0.659
618,0.240,0.743,0.597,0.749,0.772,0.730,0.206,0.659
619,0.239,0.743,0.597,0.749,0.772,0.729,0.205,0.659
620,0.238,0.742,0.596,0.749,0.772,0.729,0.204,0.658
621,0.237,0.742,0.596,0.748,0.772,0.729,0.203,0.658
622,0.236,0.741,0.596,0.748,0.771,0.728,0.203,0.657
623,0.235,0.741,0.596,0.747,0.771,0.728,0.202,0.657
624,0.234,0.740,0.595,0.747,0.771,0.727,0.201,0.656
625,0.233,0.740,0.595,0.746,0.770,0.727,0.200,0.656
626,0.232,0.739,0.595,0.746,0.770,0.726,0.199,0.655
627,0.231,0.739,0.594,0.746,0.769,0.726,0.198,0.655
628,0.230,0.738,0.594,0.745,0.769,0.725,0.197,0.654
629,0.229,0.737,0.594,0.745,0.769,0.725,0.196,0.654
630,0.229,0.737,0.594,0.744,0.768,0.724,0.195,0.654
631,0.228,0.736,0.593,0.744,0.768,0.724,0.194,0.653
632,0.227,0.736,0.593,0.743,0.767,0.723,0.194,0.653
633,0.226,0.735,0.593,0.742,0.767,0.723,0.193,0.652
634,0.225,0.735,0.592,0.742,0.767,0.723,0.192,0.652
635,0.224,0.734,0.592,0.741,0.766,0.722,0.191,0.652
636,0.223,0.733,0.592,0.741,0.766,0.722,0.190,0.651
637,0.222,0.733,0.591,0.740,0.765,0.722,0.189,0.651
638,0.221,0.732,0.591,0.740,0.765,0.721,0.188,0.650
639,0.221,0.732,0.591,0.739,0.765,0.721,0.188,0.650
640,0.220,0.731,0.590,0.739,0.764,0.720,0.187,0.649
641,0.219,0.730,0.590,0.738,0.764,0.720,0.186,0.649
642,0.218,0.730,0.590,0.738,0.763,0.719,0.185,0.649
643,0.217,0.729,0.590,0.737,0.763,0.719,0.184,0.648
644,0.216,0.729,0.589,0.737,0.762,0.718,0.184,0.648
645,0.215,0.728,0.589,0.736,0.762,0.718,0.183,0.647
646,0.215,0.727,0.588,0.736,0.762,0.717,0.182,0.646
647,0.214,0.727,0.588,0.735,0.761,0.716,0.181,0.646
648,0.213,0.726,0.588,0.734,0.760,0.716,0.180,0.645
649,0.212,0.725,0.588,0.734,0.760,0.715,0.180,0.645
650,0.211,0.725,0.587,0.733,0.760,0.715,0.179,0.644
651,0.211,0.724,0.587,0.733,0.759,0.714,0.178,0.644
652,0.210,0.724,0.586,0.732,0.759,0.714,0.177,0.644
653,0.209,0.723,0.586,0.732,0.759,0.714,0.176,0.643
654,0.208,0.723,0.586,0.731,0.758,0.713,0.175,0.643
655,0.207,0.722,0.585,0.731,0.758,0.713,0.174,0.642
656,0.206,0.721,0.585,0.730,0.757,0.712,0.173,0.642
657,0.205,0.721,0.584,0.729,0.757,0.712,0.172,0.641
658,0.205,0.720,0.584,0.729,0.756,0.712,0.171,0.641
659,0.204,0.720,0.584,0.728,0.756,0.711,0.170,0.640
660,0.203,0.719,0.583,0.728,0.755,0.711,0.169,0.640
661,0.203,0.719,0.583,0.727,0.755,0.710,0.168,0.640
662,0.202,0.718,0.582,0.727,0.755,0.710,0.168,0.639
663,0.201,0.718,0.582,0.726,0.754,0.710,0.167,0.639
664,0.201,0.717,0.582,0.726,0.754,0.709,0.167,0.639
665,0.200,0.717,0.582,0.725,0.754,0.709,0.166,0.638
666,0.200,0.716,0.581,0.725,0.753,0.709,0.165,0.638
667,0.199,0.716,0.581,0.724,0.753,0.708,0.165,0.638
668,0.199,0.715,0.581,0.724,0.752,0.708,0.164,0.637
669,0.198,0.715,0.580,0.723,0.752,0.707,0.164,0.637
670,0.198,0.714,0.580,0.723,0.752,0.707,0.163,0.637
671,0.197,0.714,0.580,0.723,0.751,0.707,0.163,0.636
672,0.197,0.713,0.580,0.722,0.751,0.706,0.162,0.636
673,0.196,0.713,0.579,0.722,0.751,0.706,0.162,0.635
674,0.196,0.712,0.579,0.721,0.750,0.705,0.161,0.635
675,0.195,0.712,0.579,0.721,0.750,0.705,0.160,0.635
676,0.195,0.711,0.579,0.720,0.749,0.705,0.160,0.634
677,0.194,0.710,0.578,0.720,0.749,0.704,0.159,0.634
678,0.194,0.710,0.578,0.719,0.748,0.704,0.159,0.633
