Start time (UTC), 1010 
 Sky conditions, CO-SDV 
 Other notes, Rest of albedo points on separate floe no longer located. NIR images at 19 (12:32) then 20 (12:34). Kipps shortly after ASD. 
 Ship latitude, 81.30112
 Ship longitude, 0.33111
Position, 19, 20
Surface type, S, S
Surface thickness (cm), 10, 10
Notes, appear to be slightly sedimented mounds! , darkish area right under measurement area
Change in incident (%),10.0, 10.0
Wavelengths,Albedo0,Albedo1
903,0.590,0.561
904,0.588,0.560
905,0.587,0.559
906,0.587,0.558
907,0.586,0.557
908,0.585,0.556
909,0.584,0.556
910,0.583,0.555
911,0.582,0.554
912,0.582,0.553
913,0.581,0.553
914,0.580,0.552
915,0.580,0.551
916,0.579,0.551
917,0.579,0.550
918,0.578,0.550
919,0.577,0.549
920,0.577,0.548
921,0.576,0.548
922,0.576,0.547
923,0.575,0.547
924,0.575,0.546
925,0.574,0.546
926,0.574,0.545
927,0.573,0.545
928,0.572,0.544
929,0.572,0.543
930,0.571,0.543
931,0.571,0.542
932,0.570,0.541
933,0.570,0.541
934,0.569,0.540
935,0.568,0.539
936,0.568,0.538
937,0.567,0.537
938,0.566,0.536
939,0.565,0.535
940,0.564,0.534
941,0.563,0.533
942,0.561,0.532
943,0.560,0.531
944,0.559,0.529
945,0.558,0.528
946,0.556,0.526
947,0.554,0.524
948,0.553,0.523
949,0.551,0.521
950,0.549,0.519
951,0.547,0.517
952,0.545,0.515
953,0.542,0.513
954,0.540,0.511
955,0.538,0.508
956,0.535,0.506
957,0.533,0.503
958,0.530,0.501
959,0.528,0.498
960,0.525,0.496
961,0.522,0.493
962,0.519,0.490
963,0.516,0.488
964,0.514,0.485
965,0.511,0.482
966,0.508,0.480
967,0.505,0.477
968,0.502,0.474
969,0.500,0.471
970,0.497,0.469
971,0.494,0.466
972,0.491,0.463
973,0.489,0.461
974,0.486,0.458
975,0.483,0.455
976,0.480,0.452
977,0.477,0.450
978,0.474,0.447
979,0.471,0.444
980,0.468,0.441
981,0.464,0.438
982,0.461,0.435
983,0.458,0.432
984,0.455,0.429
985,0.452,0.426
986,0.449,0.423
