Start time (UTC), 1229 
 Sky conditions, sunny to foggy/sdv around 25 to nsdv at 40 
 Other notes, Melinda & Felix. Ponds refrozen with scant dusting of snow; SDV.  
 Ship latitude, 87.7816
 Ship longitude, 104.49022
Position,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
Surface type,               s,               s,               s,               s,               s, frozenover pond,               s,               p,               p,               s,               s,               s,               s
Surface thickness (cm),  6,  6,  5,  5,  6,  0,  6, 37, 37,  7, 10,  5,  8
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),30.0, 20.0, 20.0, 30.0, 10.0, 30.0, 20.0, 20.0, 10.0, 10.0, 0.0, 0.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12
477,,,,,,,0.899,0.243,0.236,0.851,0.875,0.920,0.904
478,,,,,,,0.899,0.243,0.236,0.851,0.875,0.920,0.904
479,,,,,,,0.899,0.243,0.236,0.851,0.876,0.920,0.904
480,,,,,,,0.899,0.243,0.236,0.851,0.875,0.920,0.904
481,,,,,,,0.899,0.243,0.236,0.851,0.875,0.920,0.905
482,,,,,,,0.900,0.243,0.236,0.851,0.875,0.920,0.905
483,,,,,,,0.900,0.243,0.236,0.851,0.876,0.920,0.905
484,,,,,,,0.900,0.243,0.236,0.851,0.876,0.921,0.905
485,,,,,,,0.900,0.243,0.236,0.852,0.875,0.921,0.905
486,,,,,,,0.900,0.242,0.236,0.852,0.876,0.921,0.905
487,,,,,,,0.900,0.242,0.236,0.852,0.876,0.921,0.905
488,,,,,,,0.900,0.242,0.235,0.852,0.876,0.922,0.905
489,,,,,,,0.900,0.242,0.235,0.852,0.875,0.922,0.905
490,,,,,,,0.900,0.242,0.235,0.852,0.876,0.922,0.905
491,,,,,,,0.900,0.242,0.235,0.852,0.876,0.922,0.905
492,,,,,,,0.901,0.242,0.235,0.852,0.876,0.922,0.905
493,,,,,,,0.901,0.242,0.235,0.852,0.876,0.923,0.905
494,,,,,,,0.901,0.242,0.235,0.852,0.875,0.923,0.905
495,,,,,,,0.901,0.242,0.235,0.852,0.876,0.923,0.905
496,,,,,,,0.901,0.242,0.235,0.852,0.876,0.923,0.905
497,,,,,,,0.901,0.242,0.234,0.852,0.875,0.924,0.905
498,,,,,,,0.901,0.242,0.234,0.852,0.875,0.924,0.905
499,,,,,,,0.901,0.242,0.234,0.852,0.875,0.924,0.905
500,,,,,,,0.901,0.241,0.234,0.852,0.875,0.924,0.905
501,,,,,,,0.901,0.241,0.234,0.852,0.876,0.924,0.905
502,,,,,,,0.901,0.241,0.234,0.852,0.876,0.924,0.905
503,,,,,,,0.901,0.241,0.233,0.852,0.875,0.925,0.905
504,,,,,,,0.901,0.240,0.233,0.852,0.875,0.925,0.905
505,,,,,,,0.902,0.240,0.232,0.852,0.875,0.925,0.905
506,,,,,,,0.902,0.240,0.232,0.853,0.876,0.925,0.905
507,,,,,,,0.902,0.240,0.232,0.853,0.875,0.925,0.905
508,,,,,,,0.902,0.239,0.231,0.853,0.875,0.925,0.905
509,,,,,,,0.902,0.239,0.231,0.852,0.875,0.925,0.905
510,,,,,,,0.902,0.238,0.230,0.852,0.875,0.926,0.905
511,,,,,,,0.902,0.238,0.230,0.853,0.875,0.926,0.905
512,,,,,,,0.902,0.238,0.229,0.853,0.875,0.926,0.905
513,,,,,,,0.902,0.237,0.229,0.853,0.875,0.926,0.906
514,,,,,,,0.902,0.237,0.229,0.853,0.875,0.927,0.906
515,,,,,,,0.902,0.237,0.229,0.853,0.875,0.927,0.906
516,,,,,,,0.902,0.237,0.229,0.853,0.875,0.927,0.906
517,,,,,,,0.903,0.237,0.228,0.853,0.875,0.927,0.906
518,,,,,,,0.903,0.236,0.228,0.853,0.875,0.927,0.906
519,,,,,,,0.903,0.236,0.228,0.853,0.875,0.927,0.906
520,,,,,,,0.903,0.236,0.228,0.853,0.875,0.927,0.906
521,,,,,,,0.903,0.236,0.228,0.853,0.875,0.928,0.905
522,,,,,,,0.903,0.236,0.227,0.853,0.875,0.928,0.906
523,,,,,,,0.903,0.236,0.227,0.853,0.875,0.928,0.906
524,,,,,,,0.903,0.236,0.227,0.853,0.875,0.928,0.906
525,,,,,,,0.903,0.236,0.227,0.853,0.875,0.928,0.906
526,,,,,,,0.903,0.236,0.227,0.853,0.875,0.928,0.906
527,,,,,,,0.903,0.236,0.226,0.853,0.875,0.928,0.906
528,,,,,,,0.903,0.235,0.226,0.853,0.875,0.928,0.906
529,,,,,,,0.903,0.235,0.226,0.853,0.875,0.929,0.906
530,,,,,,,0.903,0.235,0.226,0.853,0.875,0.928,0.906
531,,,,,,,0.903,0.235,0.225,0.853,0.875,0.929,0.906
532,,,,,,,0.903,0.235,0.225,0.853,0.875,0.929,0.906
533,,,,,,,0.904,0.234,0.225,0.853,0.875,0.929,0.906
534,,,,,,,0.904,0.234,0.225,0.853,0.875,0.929,0.906
535,,,,,,,0.904,0.234,0.225,0.853,0.875,0.930,0.906
536,,,,,,,0.904,0.234,0.224,0.853,0.875,0.930,0.906
537,,,,,,,0.904,0.233,0.224,0.853,0.874,0.930,0.906
538,,,,,,,0.904,0.233,0.224,0.853,0.874,0.930,0.906
539,,,,,,,0.904,0.233,0.223,0.853,0.875,0.930,0.906
540,,,,,,,0.904,0.233,0.223,0.853,0.875,0.930,0.906
541,,,,,,,0.904,0.232,0.223,0.853,0.875,0.930,0.906
542,,,,,,,0.904,0.232,0.222,0.853,0.875,0.930,0.906
543,,,,,,,0.904,0.232,0.222,0.853,0.875,0.930,0.906
544,,,,,,,0.904,0.232,0.222,0.853,0.875,0.930,0.906
545,,,,,,,0.904,0.231,0.221,0.853,0.874,0.931,0.906
546,,,,,,,0.904,0.231,0.221,0.853,0.874,0.931,0.906
547,,,,,,,0.904,0.230,0.221,0.853,0.874,0.931,0.906
548,,,,,,,0.904,0.230,0.220,0.853,0.874,0.931,0.906
549,,,,,,,0.904,0.230,0.220,0.853,0.874,0.931,0.906
550,,,,,,,0.904,0.229,0.219,0.853,0.874,0.932,0.906
