Start time (UTC), 0122 
 Sky conditions, CO-SDNV mostly, occasionally drizzly 
 Other notes, 24-hr sampling period. Reunion Stakes (RS) visited every ~3 hrs. (1) pond @ intersection of stakes 203&205. (2) raised area of SSL@ intersection of stakes 203&206. (3) sediment mounds @intersection of stakes 203&207 (4) part raised SSL- some uneven surface @ intersection of stakes 203&211 
(5) stake 205 (6) vertical grains & crack @ stake 206  (7) pond @ stake 207  (8) stake 211, half uneven surface & level SSL.
Stern (STERN) visited every ~3 hrs. (1 A) clean area from July 5, (1B)  shoveled area from July 5. ~1cm standing water. (2) pond w very holey bottom (3) other end of same pond. w smoother bottom. (4) Dark pond. measurement centered over large white (previously crack). (5A)  clean level bare (SSL) ice on slope (5B) - shoveled off to observe SSL evolution. (6) very blue pond (7) very large tooth-like grains (old drained pond?) at edge of pond 6
ROV transect visited every ~6 hrs (with ROV transmittance & UAV albedo). 
 Ship latitude, 81.4458
 Ship longitude, 1.53678
Position,  3,  2, 1B, 1A,  4, 5A, 5B,  6
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes, Ian (ASD) Melinda (notes). Some locations shif...,                                               NaN,                                shoveled snow/pond,                              level untouched snow,                               pond w/ white crack,                                    untouched snow,                                         shoveled ,                                lovely little pond
Change in incident (%),0.0, 10.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
470,0.388,0.412,0.554,0.791,0.488,0.793,0.765,0.569
471,0.388,0.413,0.554,0.791,0.489,0.794,0.765,0.569
472,0.388,0.413,0.554,0.791,0.489,0.794,0.765,0.569
473,0.388,0.413,0.554,0.791,0.489,0.794,0.765,0.569
474,0.388,0.413,0.554,0.791,0.489,0.794,0.765,0.569
475,0.389,0.414,0.554,0.791,0.489,0.794,0.765,0.569
476,0.389,0.414,0.554,0.791,0.489,0.794,0.765,0.569
477,0.389,0.414,0.554,0.791,0.489,0.794,0.765,0.569
478,0.389,0.414,0.554,0.791,0.490,0.794,0.765,0.569
479,0.389,0.414,0.554,0.791,0.489,0.794,0.765,0.569
480,0.389,0.414,0.554,0.791,0.489,0.794,0.765,0.569
481,0.389,0.414,0.554,0.791,0.490,0.794,0.765,0.569
482,0.388,0.414,0.554,0.791,0.490,0.794,0.765,0.569
483,0.388,0.414,0.554,0.791,0.490,0.794,0.765,0.570
484,0.388,0.414,0.554,0.791,0.490,0.794,0.765,0.570
485,0.388,0.414,0.554,0.791,0.490,0.794,0.765,0.570
486,0.388,0.413,0.553,0.791,0.490,0.794,0.765,0.570
487,0.388,0.413,0.553,0.791,0.490,0.794,0.765,0.569
488,0.388,0.413,0.553,0.791,0.490,0.794,0.765,0.569
489,0.387,0.412,0.553,0.791,0.490,0.794,0.765,0.569
490,0.387,0.412,0.553,0.791,0.490,0.794,0.765,0.569
491,0.387,0.412,0.553,0.791,0.490,0.794,0.765,0.569
492,0.387,0.412,0.553,0.791,0.489,0.794,0.765,0.569
493,0.387,0.412,0.553,0.791,0.489,0.794,0.765,0.569
494,0.387,0.412,0.553,0.791,0.489,0.794,0.765,0.569
495,0.387,0.412,0.553,0.791,0.489,0.794,0.765,0.568
496,0.386,0.411,0.552,0.791,0.489,0.794,0.765,0.568
497,0.386,0.411,0.552,0.791,0.489,0.794,0.765,0.568
498,0.386,0.411,0.552,0.791,0.489,0.794,0.765,0.568
499,0.386,0.412,0.552,0.791,0.489,0.794,0.765,0.568
500,0.386,0.412,0.552,0.791,0.488,0.794,0.765,0.567
501,0.386,0.412,0.552,0.791,0.488,0.794,0.765,0.567
502,0.386,0.412,0.552,0.791,0.488,0.794,0.765,0.567
503,0.386,0.412,0.552,0.791,0.488,0.794,0.765,0.566
504,0.386,0.412,0.552,0.791,0.487,0.794,0.764,0.566
505,0.386,0.412,0.552,0.791,0.487,0.794,0.764,0.566
506,0.386,0.413,0.552,0.791,0.487,0.794,0.764,0.565
507,0.386,0.412,0.551,0.791,0.486,0.794,0.764,0.565
508,0.386,0.413,0.551,0.791,0.486,0.794,0.764,0.564
509,0.385,0.413,0.551,0.791,0.485,0.793,0.764,0.563
510,0.385,0.412,0.551,0.791,0.485,0.793,0.764,0.563
511,0.385,0.413,0.551,0.791,0.484,0.793,0.764,0.562
512,0.385,0.413,0.551,0.791,0.484,0.793,0.764,0.562
513,0.385,0.413,0.551,0.791,0.483,0.793,0.763,0.561
514,0.385,0.412,0.550,0.791,0.483,0.793,0.763,0.561
515,0.385,0.413,0.550,0.791,0.483,0.793,0.763,0.560
516,0.385,0.413,0.550,0.791,0.482,0.793,0.763,0.560
517,0.385,0.413,0.550,0.791,0.482,0.793,0.763,0.559
518,0.384,0.413,0.550,0.791,0.482,0.793,0.763,0.559
519,0.384,0.413,0.550,0.791,0.482,0.792,0.763,0.559
520,0.384,0.413,0.550,0.791,0.482,0.792,0.762,0.558
521,0.384,0.413,0.550,0.791,0.481,0.792,0.762,0.558
522,0.384,0.413,0.550,0.791,0.481,0.792,0.762,0.557
523,0.384,0.413,0.549,0.791,0.481,0.792,0.762,0.557
524,0.384,0.414,0.549,0.791,0.481,0.791,0.762,0.557
525,0.384,0.414,0.549,0.791,0.481,0.791,0.761,0.556
526,0.384,0.413,0.549,0.791,0.480,0.791,0.761,0.556
527,0.384,0.413,0.549,0.790,0.480,0.791,0.761,0.555
528,0.383,0.413,0.549,0.790,0.480,0.791,0.761,0.555
529,0.383,0.413,0.549,0.790,0.479,0.791,0.761,0.554
530,0.383,0.413,0.548,0.790,0.479,0.790,0.760,0.554
531,0.383,0.413,0.548,0.790,0.479,0.790,0.760,0.553
532,0.382,0.413,0.548,0.790,0.478,0.790,0.760,0.553
533,0.382,0.412,0.548,0.790,0.478,0.790,0.759,0.552
534,0.382,0.412,0.548,0.790,0.478,0.789,0.759,0.551
535,0.381,0.412,0.548,0.790,0.477,0.789,0.759,0.551
536,0.381,0.411,0.547,0.790,0.477,0.789,0.759,0.550
537,0.381,0.411,0.547,0.790,0.476,0.789,0.758,0.549
538,0.380,0.411,0.547,0.790,0.476,0.788,0.758,0.549
539,0.380,0.410,0.547,0.790,0.475,0.788,0.758,0.548
540,0.380,0.410,0.546,0.790,0.475,0.788,0.757,0.547
541,0.379,0.409,0.546,0.789,0.474,0.788,0.757,0.546
542,0.378,0.409,0.546,0.789,0.474,0.787,0.757,0.545
543,0.378,0.409,0.546,0.789,0.473,0.787,0.756,0.545
544,0.378,0.408,0.545,0.789,0.472,0.786,0.756,0.544
545,0.377,0.407,0.545,0.789,0.472,0.786,0.755,0.543
546,0.376,0.407,0.545,0.789,0.471,0.786,0.755,0.542
547,0.376,0.406,0.544,0.789,0.470,0.786,0.755,0.541
548,0.375,0.405,0.544,0.789,0.469,0.785,0.754,0.540
549,0.375,0.405,0.544,0.789,0.469,0.785,0.754,0.539
550,0.374,0.404,0.543,0.788,0.468,0.785,0.753,0.538
551,0.374,0.404,0.543,0.788,0.467,0.784,0.753,0.537
552,0.373,0.403,0.543,0.788,0.466,0.784,0.753,0.536
553,0.372,0.402,0.542,0.788,0.466,0.784,0.752,0.535
554,0.372,0.402,0.542,0.788,0.465,0.783,0.752,0.534
555,0.371,0.401,0.542,0.788,0.464,0.783,0.751,0.534
556,0.371,0.401,0.542,0.788,0.464,0.783,0.751,0.533
557,0.370,0.400,0.541,0.788,0.463,0.782,0.751,0.532
558,0.370,0.399,0.541,0.787,0.462,0.782,0.750,0.531
559,0.369,0.399,0.541,0.787,0.462,0.782,0.750,0.530
560,0.369,0.398,0.540,0.787,0.461,0.781,0.749,0.529
561,0.368,0.397,0.540,0.787,0.460,0.781,0.749,0.528
562,0.367,0.397,0.540,0.787,0.459,0.780,0.748,0.527
563,0.366,0.396,0.539,0.787,0.459,0.780,0.748,0.526
564,0.366,0.395,0.539,0.787,0.458,0.780,0.747,0.525
565,0.365,0.394,0.538,0.786,0.457,0.779,0.747,0.524
566,0.364,0.393,0.538,0.786,0.456,0.779,0.746,0.522
567,0.363,0.393,0.538,0.786,0.455,0.778,0.746,0.521
568,0.363,0.392,0.537,0.786,0.454,0.778,0.745,0.520
569,0.362,0.391,0.537,0.786,0.453,0.778,0.745,0.519
570,0.361,0.390,0.536,0.786,0.452,0.777,0.744,0.517
571,0.360,0.389,0.536,0.786,0.451,0.777,0.744,0.516
572,0.359,0.388,0.535,0.785,0.450,0.776,0.743,0.515
573,0.358,0.387,0.535,0.785,0.449,0.776,0.743,0.514
574,0.357,0.386,0.534,0.785,0.447,0.775,0.742,0.512
575,0.356,0.384,0.534,0.785,0.446,0.775,0.742,0.511
576,0.355,0.383,0.533,0.785,0.444,0.775,0.741,0.509
577,0.354,0.382,0.533,0.785,0.443,0.774,0.741,0.508
578,0.353,0.381,0.532,0.784,0.441,0.774,0.740,0.506
579,0.352,0.379,0.531,0.784,0.440,0.774,0.740,0.504
580,0.350,0.378,0.531,0.784,0.438,0.773,0.739,0.502
581,0.349,0.376,0.530,0.784,0.436,0.773,0.739,0.501
582,0.348,0.375,0.530,0.784,0.434,0.772,0.738,0.499
583,0.347,0.373,0.529,0.783,0.433,0.772,0.738,0.497
584,0.345,0.371,0.528,0.783,0.430,0.771,0.737,0.495
585,0.344,0.370,0.527,0.783,0.428,0.771,0.737,0.493
586,0.342,0.368,0.527,0.783,0.426,0.770,0.736,0.490
587,0.340,0.366,0.526,0.782,0.424,0.770,0.735,0.488
588,0.339,0.364,0.525,0.782,0.422,0.769,0.735,0.486
589,0.337,0.362,0.524,0.782,0.419,0.768,0.734,0.484
590,0.335,0.360,0.523,0.781,0.417,0.768,0.733,0.481
591,0.334,0.358,0.522,0.781,0.414,0.767,0.732,0.479
592,0.332,0.356,0.521,0.781,0.412,0.767,0.732,0.476
593,0.330,0.354,0.520,0.781,0.409,0.766,0.731,0.474
594,0.328,0.352,0.519,0.780,0.407,0.766,0.730,0.471
595,0.326,0.350,0.518,0.780,0.404,0.765,0.730,0.468
596,0.324,0.347,0.517,0.780,0.401,0.765,0.729,0.465
597,0.322,0.345,0.515,0.779,0.397,0.764,0.728,0.462
598,0.319,0.342,0.514,0.779,0.394,0.763,0.728,0.459
599,0.317,0.339,0.513,0.779,0.390,0.763,0.727,0.455
600,0.314,0.337,0.511,0.778,0.387,0.762,0.726,0.452
601,0.312,0.335,0.510,0.778,0.384,0.762,0.726,0.449
602,0.311,0.332,0.509,0.777,0.381,0.761,0.725,0.447
603,0.309,0.331,0.508,0.777,0.379,0.761,0.724,0.444
604,0.307,0.329,0.507,0.777,0.377,0.760,0.723,0.442
605,0.306,0.328,0.506,0.776,0.376,0.760,0.723,0.441
606,0.305,0.327,0.506,0.776,0.374,0.759,0.722,0.439
607,0.304,0.326,0.505,0.776,0.373,0.758,0.721,0.438
608,0.303,0.325,0.504,0.775,0.372,0.758,0.721,0.436
609,0.302,0.324,0.504,0.775,0.371,0.757,0.720,0.435
610,0.301,0.322,0.503,0.775,0.369,0.757,0.719,0.433
611,0.300,0.321,0.502,0.775,0.368,0.756,0.719,0.432
612,0.299,0.320,0.502,0.774,0.367,0.756,0.718,0.430
