Start time (UTC), 0820 
 Sky conditions, CO-SDNV 
 Other notes, ASD only at 2 stakes locations (Drone Bones & Reunion stakes). Data not usable due to improper settings on Panasonic laptop.  
 Ship latitude, 81.6165
 Ship longitude, 3.45089
Position, 1, 2, 3, 4, 5, 6, 7, 8
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),10.0, 10.0, 10.0, 0.0, 0.0, 10.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7
529,,0.695,0.548,0.690,0.752,0.712,,0.587
530,,0.695,0.548,0.689,0.752,0.712,,0.586
531,,0.695,0.548,0.689,0.752,0.711,,0.586
532,,0.695,0.549,0.689,0.752,0.711,,0.586
533,,0.695,0.549,0.689,0.752,0.711,,0.586
534,,0.694,0.549,0.689,0.752,0.711,,0.585
535,,0.694,0.549,0.689,0.752,0.711,,0.585
536,,0.694,0.549,0.689,0.752,0.711,,0.585
537,,0.694,0.549,0.689,0.752,0.710,,0.585
538,,0.694,0.549,0.688,0.752,0.710,,0.584
539,,0.693,0.549,0.688,0.751,0.710,,0.584
540,,0.693,0.549,0.688,0.751,0.710,,0.583
541,,0.693,0.549,0.688,0.751,0.709,,0.583
542,,0.692,0.549,0.688,0.751,0.709,,0.583
543,,0.692,0.548,0.687,0.751,0.709,,0.583
544,,0.692,0.549,0.687,0.751,0.709,,0.582
545,,0.691,0.548,0.687,0.750,0.708,,0.582
546,,0.691,0.548,0.687,0.750,0.708,,0.582
547,,0.691,0.548,0.687,0.750,0.708,,0.581
548,,0.691,0.548,0.686,0.750,0.708,,0.581
549,,0.690,0.548,0.686,0.750,0.707,,0.581
550,,0.690,0.548,0.686,0.750,0.707,,0.580
551,,0.690,0.548,0.686,0.749,0.707,,0.580
552,,0.689,0.548,0.685,0.749,0.707,,0.579
553,,0.689,0.547,0.685,0.749,0.706,,0.579
554,,0.689,0.547,0.685,0.749,0.706,,0.579
555,,0.688,0.547,0.685,0.749,0.706,,0.578
556,,0.688,0.547,0.685,0.748,0.705,,0.578
557,,0.688,0.547,0.684,0.748,0.705,,0.578
558,,0.688,0.547,0.684,0.748,0.705,,0.577
559,,0.687,0.547,0.684,0.748,0.705,,0.577
560,,0.687,0.547,0.684,0.748,0.704,,0.577
561,,0.687,0.547,0.683,0.747,0.704,,0.576
562,,0.686,0.546,0.683,0.747,0.704,,0.576
563,,0.686,0.546,0.683,0.747,0.703,,0.575
564,,0.685,0.546,0.682,0.747,0.703,,0.575
565,,0.685,0.546,0.682,0.747,0.703,,0.575
566,,0.685,0.546,0.682,0.746,0.702,,0.574
567,,0.684,0.545,0.682,0.746,0.702,,0.574
568,,0.684,0.545,0.681,0.746,0.702,,0.573
569,,0.684,0.545,0.681,0.746,0.701,,0.573
570,,0.683,0.545,0.681,0.745,0.701,,0.572
571,,0.683,0.544,0.680,0.745,0.701,,0.572
572,,0.682,0.544,0.680,0.745,0.700,,0.571
573,,0.682,0.544,0.680,0.745,0.700,,0.571
574,,0.682,0.544,0.679,0.744,0.700,,0.570
575,,0.681,0.543,0.679,0.744,0.699,,0.570
576,,0.681,0.543,0.679,0.744,0.699,,0.570
577,,0.681,0.543,0.678,0.744,0.699,,0.569
578,,0.680,0.542,0.678,0.743,0.698,,0.569
579,,0.680,0.542,0.678,0.743,0.698,,0.568
580,,0.680,0.541,0.677,0.743,0.697,,0.567
581,,0.679,0.541,0.677,0.743,0.697,,0.567
582,,0.679,0.540,0.677,0.742,0.697,,0.566
583,,0.678,0.540,0.676,0.742,0.697,,0.566
584,,0.678,0.539,0.676,0.742,0.696,,0.565
585,,0.677,0.538,0.676,0.741,0.696,,0.565
586,,0.677,0.538,0.675,0.741,0.695,,0.564
587,,0.676,0.537,0.674,0.741,0.695,,0.563
588,,0.676,0.537,0.674,0.740,0.694,,0.563
589,,0.675,0.536,0.673,0.740,0.694,,0.562
590,,0.675,0.536,0.673,0.740,0.693,,0.561
591,,0.674,0.535,0.673,0.739,0.693,,0.560
592,,0.674,0.534,0.672,0.739,0.692,,0.560
593,,0.673,0.534,0.672,0.739,0.692,,0.559
594,,0.673,0.533,0.671,0.738,0.692,,0.558
595,,0.673,0.532,0.671,0.738,0.691,,0.558
596,,0.672,0.531,0.670,0.738,0.690,,0.557
597,,0.672,0.530,0.670,0.737,0.690,,0.556
598,,0.671,0.529,0.669,0.737,0.689,,0.555
599,,0.670,0.528,0.668,0.736,0.689,,0.554
600,,0.670,0.527,0.668,0.736,0.688,,0.554
601,,0.669,0.527,0.667,0.735,0.688,,0.553
602,,0.669,0.526,0.667,0.735,0.688,,0.552
603,,0.668,0.525,0.667,0.735,0.687,,0.551
604,,0.668,0.525,0.666,0.734,0.687,,0.551
605,,0.668,0.524,0.666,0.734,0.686,,0.550
606,,0.667,0.524,0.665,0.734,0.686,,0.550
607,,0.667,0.524,0.665,0.733,0.685,,0.549
608,,0.666,0.523,0.665,0.733,0.685,,0.549
609,,0.666,0.523,0.664,0.733,0.685,,0.549
610,,0.665,0.523,0.664,0.732,0.684,,0.548
611,,0.665,0.522,0.664,0.732,0.684,,0.548
612,,0.665,0.522,0.663,0.732,0.684,,0.547
613,,0.664,0.522,0.663,0.731,0.683,,0.547
614,,0.664,0.521,0.662,0.731,0.682,,0.546
615,,0.663,0.521,0.662,0.731,0.682,,0.546
616,,0.663,0.521,0.661,0.730,0.682,,0.545
617,,0.662,0.520,0.661,0.730,0.681,,0.545
618,,0.662,0.520,0.661,0.729,0.681,,0.544
619,,0.661,0.519,0.660,0.729,0.680,,0.544
620,,0.661,0.519,0.660,0.729,0.680,,0.543
621,,0.660,0.519,0.659,0.728,0.679,,0.543
622,,0.660,0.518,0.659,0.728,0.679,,0.542
623,,0.659,0.518,0.658,0.727,0.678,,0.542
624,,0.658,0.517,0.658,0.727,0.678,,0.541
625,,0.658,0.517,0.657,0.726,0.677,,0.541
626,,0.657,0.517,0.656,0.726,0.676,,0.540
627,,0.657,0.516,0.656,0.725,0.676,,0.539
628,,0.656,0.516,0.655,0.725,0.675,,0.539
629,,0.655,0.515,0.655,0.725,0.675,,0.538
630,,0.655,0.515,0.654,0.724,0.674,,0.538
631,,0.654,0.514,0.654,0.723,0.674,,0.537
632,,0.654,0.514,0.653,0.723,0.673,,0.537
633,,0.653,0.513,0.653,0.722,0.672,,0.536
634,,0.653,0.513,0.652,0.722,0.672,,0.536
635,,0.652,0.513,0.651,0.721,0.671,,0.535
636,,0.651,0.512,0.651,0.721,0.671,,0.535
637,,0.651,0.512,0.650,0.720,0.670,,0.534
638,,0.650,0.511,0.650,0.720,0.669,,0.534
639,,0.649,0.511,0.649,0.719,0.669,,0.533
640,,0.649,0.511,0.649,0.718,0.668,,0.533
641,,0.648,0.510,0.648,0.718,0.668,,0.532
642,,0.648,0.510,0.648,0.717,0.667,,0.532
643,,0.647,0.509,0.647,0.717,0.666,,0.531
644,,0.646,0.509,0.646,0.716,0.666,,0.530
645,,0.645,0.508,0.646,0.716,0.665,,0.530
646,,0.645,0.508,0.645,0.715,0.664,,0.529
647,,0.644,0.507,0.645,0.714,0.664,,0.529
648,,0.643,0.507,0.644,0.714,0.663,,0.528
649,,0.643,0.507,0.643,0.713,0.662,,0.528
650,,0.642,0.506,0.643,0.713,0.662,,0.527
651,,0.642,0.505,0.642,0.712,0.661,,0.527
652,,0.641,0.505,0.642,0.712,0.661,,0.526
653,,0.640,0.504,0.641,0.711,0.660,,0.525
654,,0.640,0.504,0.641,0.711,0.659,,0.525
655,,0.639,0.503,0.640,0.710,0.659,,0.524
656,,0.639,0.503,0.640,0.709,0.658,,0.524
657,,0.638,0.502,0.639,0.709,0.658,,0.523
658,,0.637,0.502,0.638,0.708,0.657,,0.523
659,,0.637,0.501,0.638,0.708,0.656,,0.522
660,,0.636,0.501,0.637,0.707,0.656,,0.522
661,,0.636,0.500,0.637,0.707,0.655,,0.521
662,,0.635,0.500,0.637,0.706,0.655,,0.521
663,,0.635,0.499,0.636,0.706,0.654,,0.520
664,,0.634,0.499,0.636,0.705,0.654,,0.520
665,,0.634,0.498,0.635,0.705,0.653,,0.520
666,,0.633,0.498,0.634,0.704,0.653,,0.519
667,,0.633,0.498,0.634,0.704,0.652,,0.519
668,,0.632,0.497,0.634,0.703,0.652,,0.518
669,,0.632,0.497,0.633,0.703,0.651,,0.518
670,,0.631,0.497,0.633,0.702,0.651,,0.518
671,,0.630,0.496,0.632,0.702,0.650,,0.517
672,,0.630,0.496,0.632,0.702,0.650,,0.517
673,,0.629,0.495,0.631,0.701,0.649,,0.516
674,,0.629,0.495,0.631,0.701,0.649,,0.516
675,,0.628,0.495,0.630,0.700,0.648,,0.516
676,,0.628,0.494,0.630,0.699,0.648,,0.515
677,,0.627,0.494,0.629,0.699,0.647,,0.515
678,,0.626,0.493,0.629,0.698,0.646,,0.514
679,,0.626,0.493,0.628,0.698,0.646,,0.514
680,,0.625,0.492,0.628,0.697,0.645,,0.513
681,,0.625,0.492,0.627,0.697,0.645,,0.513
682,,0.624,0.492,0.626,0.696,0.644,,0.512
683,,0.624,0.491,0.626,0.696,0.643,,0.512
684,,0.623,0.491,0.625,0.695,0.643,,0.511
685,,0.622,0.490,0.625,0.694,0.642,,0.511
686,,0.621,0.490,0.624,0.694,0.641,,0.510
687,,0.620,0.490,0.623,0.694,0.640,,0.510
688,,0.619,0.489,0.622,0.693,0.639,,0.509
689,,0.619,0.488,0.622,0.692,0.638,,0.508
690,,0.618,0.488,0.621,0.691,0.638,,0.508
691,,0.617,0.487,0.620,0.690,0.637,,0.507
692,,0.616,0.486,0.619,0.690,0.636,,0.506
693,,0.615,0.485,0.618,0.689,0.635,,0.506
694,,0.614,0.485,0.617,0.688,0.634,,0.505
695,,0.614,0.484,0.617,0.687,0.633,,0.504
696,,0.612,0.483,0.616,0.686,0.632,,0.503
697,,0.612,0.482,0.615,0.685,0.631,,0.503
698,,0.610,0.481,0.614,0.684,0.630,,0.502
699,,0.609,0.480,0.613,0.683,0.629,,0.501
700,,0.608,0.479,0.611,0.682,0.628,,0.500
701,,0.607,0.478,0.610,0.681,0.626,,0.499
702,,0.606,0.477,0.609,0.679,0.625,,0.498
703,,0.605,0.476,0.608,0.678,0.624,,0.497
704,,0.603,0.475,0.607,0.677,0.623,,0.496
705,,0.602,0.474,0.606,0.676,0.621,,0.495
706,,0.601,0.473,0.605,0.675,0.620,,0.494
707,,0.600,0.472,0.604,0.674,0.619,,0.493
708,,0.599,0.471,0.603,0.672,0.617,,0.492
709,,0.597,0.470,0.602,0.671,0.616,,0.491
710,,0.596,0.469,0.601,0.670,0.615,,0.490
711,,0.595,0.468,0.599,0.669,0.614,,0.489
712,,0.594,0.467,0.598,0.668,0.612,,0.488
713,,0.593,0.466,0.597,0.666,0.611,,0.487
714,,0.591,0.465,0.596,0.666,0.610,,0.486
715,,0.590,0.464,0.595,0.664,0.608,,0.485
716,,0.589,0.463,0.593,0.663,0.607,,0.484
717,,0.587,0.462,0.592,0.662,0.605,,0.483
718,,0.586,0.460,0.590,0.661,0.604,,0.482
719,,0.584,0.459,0.589,0.660,0.602,,0.481
720,,0.583,0.458,0.588,0.659,0.601,,0.480
721,,0.582,0.457,0.587,0.658,0.600,,0.479
722,,0.582,0.456,0.586,0.657,0.599,,0.478
723,,0.580,0.455,0.585,0.656,0.598,,0.477
724,,0.579,0.454,0.584,0.655,0.596,,0.476
725,,0.578,0.453,0.583,0.654,0.595,,0.475
726,,0.576,0.451,0.582,0.653,0.594,,0.474
727,,0.575,0.450,0.580,0.651,0.592,,0.473
728,,0.574,0.449,0.579,0.650,0.591,,0.472
729,,0.572,0.447,0.578,0.649,0.589,,0.471
730,,0.571,0.446,0.577,0.647,0.588,,0.469
731,,0.570,0.445,0.575,0.646,0.586,,0.468
732,,0.568,0.443,0.574,0.644,0.585,,0.467
733,,0.567,0.442,0.573,0.643,0.584,,0.466
734,,0.566,0.441,0.572,0.642,0.582,,0.465
735,,0.564,0.440,0.571,0.641,0.580,,0.464
736,,0.563,0.439,0.569,0.639,0.579,,0.463
737,,0.562,0.438,0.568,0.638,0.578,,0.462
738,,0.561,0.437,0.567,0.637,0.577,,0.461
739,,0.560,0.437,0.566,0.636,0.576,,0.460
740,,0.559,0.436,0.565,0.635,0.574,,0.459
741,,0.558,0.436,0.564,0.634,0.573,,0.459
742,,0.557,0.435,0.563,0.633,0.572,,0.458
743,,0.556,0.434,0.562,0.631,0.571,,0.457
744,,0.555,0.434,0.561,0.630,0.570,,0.456
745,,0.553,0.433,0.560,0.629,0.568,,0.456
746,,0.552,0.433,0.559,0.628,0.567,,0.455
747,,0.551,0.432,0.558,0.627,0.566,,0.454
748,,0.550,0.431,0.557,0.625,0.564,,0.453
749,,0.548,0.431,0.556,0.624,0.563,,0.452
750,,0.547,0.430,0.554,0.622,0.561,,0.451
751,,0.545,0.429,0.553,0.621,0.560,,0.450
752,,0.544,0.429,0.552,0.619,0.558,,0.449
753,,0.543,0.428,0.551,0.618,0.557,,0.448
754,,0.541,0.427,0.549,0.616,0.555,,0.447
755,,0.540,0.427,0.548,0.615,0.553,,0.446
756,,0.538,0.426,0.546,0.613,0.551,,0.445
757,,0.537,0.425,0.545,0.611,0.550,,0.444
758,,0.535,0.425,0.544,0.610,0.548,,0.443
759,,0.534,0.424,0.543,0.609,0.547,,0.442
760,,0.532,0.424,0.541,0.608,0.545,,0.441
761,,0.529,0.423,0.538,0.605,0.542,,0.440
762,,0.527,0.422,0.535,0.603,0.539,,0.439
763,,0.525,0.421,0.534,0.601,0.537,,0.437
764,,0.523,0.420,0.533,0.599,0.535,,0.436
765,,0.522,0.419,0.532,0.596,0.534,,0.435
766,,0.520,0.418,0.530,0.594,0.532,,0.433
767,,0.519,0.417,0.529,0.592,0.530,,0.432
768,,0.517,0.417,0.528,0.590,0.529,,0.431
769,,0.516,0.416,0.526,0.588,0.527,,0.430
770,,0.514,0.415,0.525,0.587,0.525,,0.429
771,,0.513,0.414,0.523,0.585,0.523,,0.428
772,,0.511,0.414,0.522,0.583,0.521,,0.427
773,,0.509,0.413,0.520,0.581,0.520,,0.426
774,,0.508,0.412,0.519,0.579,0.518,,0.425
775,,0.506,0.411,0.517,0.577,0.516,,0.424
776,,0.505,0.411,0.516,0.575,0.514,,0.423
777,,0.503,0.410,0.515,0.574,0.513,,0.422
778,,0.502,0.410,0.513,0.572,0.511,,0.421
779,,0.500,0.409,0.512,0.570,0.510,,0.420
780,,0.499,0.409,0.511,0.569,0.508,,0.419
781,,0.497,0.408,0.510,0.567,0.506,,0.418
782,,0.496,0.407,0.508,0.566,0.505,,0.417
783,,0.495,0.407,0.507,0.564,0.504,,0.417
784,,0.494,0.406,0.506,0.563,0.502,,0.416
785,,0.493,0.406,0.505,0.562,0.501,,0.415
786,,0.492,0.406,0.504,0.561,0.500,,0.415
787,,0.491,0.405,0.503,0.559,0.499,,0.414
788,,0.489,0.405,0.503,0.559,0.498,,0.414
789,,0.488,0.405,0.502,0.557,0.497,,0.413
790,,0.488,0.405,0.501,0.556,0.496,,0.413
791,,0.487,0.405,0.500,0.556,0.496,,0.413
792,,0.487,0.404,0.500,0.555,0.495,,0.413
793,,0.486,0.404,0.500,0.554,0.495,,0.412
794,,0.485,0.404,0.499,0.553,0.494,,0.412
795,,0.485,0.405,0.499,0.553,0.494,,0.412
796,,0.485,0.405,0.499,0.552,0.493,,0.412
797,,0.484,0.405,0.498,0.552,0.493,,0.412
798,,0.484,0.405,0.498,0.552,0.493,,0.413
799,,0.484,0.405,0.498,0.552,0.493,,0.413
800,,0.487,0.405,0.500,0.555,0.495,,0.413
801,,0.486,0.405,0.500,0.554,0.495,,0.413
802,,0.486,0.405,0.499,0.554,0.495,,0.413
803,,0.485,0.405,0.499,0.553,0.494,,0.413
804,,0.485,0.405,0.499,0.553,0.494,,0.413
805,,0.485,0.405,0.499,0.553,0.494,,0.413
806,,0.485,0.405,0.499,0.553,0.494,,0.413
807,,0.485,0.406,0.499,0.552,0.494,,0.413
808,,0.485,0.406,0.499,0.552,0.494,,0.414
809,,0.485,0.406,0.499,0.552,0.494,,0.414
810,,0.485,0.406,0.499,0.553,0.495,,0.414
